# English Language Arts — Grade 7 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Seventh grade: poetry and its machinery, how fiction is built, the
# stage, argument and its fallacies, the writing process, a second pass
# at grammar, and the novels a middle school actually reads.

! id      | english-7
! name    | English — Grade 7
! detail  | Poetry, fiction, drama, argument, writing craft and middle school novels.
! icon    | text.book.closed
! tint    | 0.72 0.44 0.62
! rank    | 13
! product | com.oulhen.riskelo.us.pack.english7


# --- Poetry ---

E | Which term names a group of lines in a poem? | A stanza | A paragraph | A foot | A canto
E | Which term names the beat pattern of a poem? | Rhythm | Rhyme | Imagery | Diction
E | Which term names words that end with the same sound? | Rhyme | Rhythm | Meter | Alliteration
E | Which poem of three lines counts five, seven and five syllables? | A haiku | A sonnet | A limerick | A ballad
E | Which comic poem has five lines and a bouncing rhythm? | A limerick | A haiku | A sonnet | An elegy
E | Which poem has fourteen lines? | A sonnet | A ballad | An ode | An elegy
E | Which poem tells a story in short rhyming stanzas? | A ballad | An ode | An elegy | A sonnet
E | Which poem has no regular rhyme or meter? | Free verse | Blank verse | A sonnet | A villanelle
E | Which term names the pattern of end rhymes, marked with letters? | The rhyme scheme | The meter | The stanza form | The refrain
E | Which term names two rhyming lines in a row? | A couplet | A tercet | A quatrain | A sestet
E | Which term names a four-line stanza? | A quatrain | A couplet | A tercet | An octave
M | Which poem praises its subject at length? | An ode | An elegy | A ballad | A limerick
M | Which poem mourns someone who has died? | An elegy | An ode | A ballad | A sonnet
M | Which poetry has regular meter but no rhyme? | Blank verse | Free verse | Doggerel | A ballad
M | Which term names a line or lines repeated through a poem? | A refrain | A stanza | A couplet | An envoi
M | Which term names a three-line stanza? | A tercet | A quatrain | A couplet | A sestet
M | Which term names a poem shaped like the thing it describes? | A concrete poem | A prose poem | A found poem | An acrostic
H | Which term names a unit of stressed and unstressed syllables? | A foot | A stanza | A line | A caesura
H | Which foot has an unstressed then a stressed syllable? | An iamb | A trochee | An anapest | A dactyl
H | Which foot has a stressed then an unstressed syllable? | A trochee | An iamb | A spondee | An anapest
H | Which meter has five iambs to the line? | Iambic pentameter | Iambic tetrameter | Trochaic pentameter | Dactylic hexameter
H | Which poem spells a word down its first letters? | An acrostic | A concrete poem | A cinquain | A villanelle
H | Which term names running a sentence past the end of a line? | Enjambment | Caesura | Elision | Anaphora
H | Which term names a pause inside a line of verse? | A caesura | An enjambment | A stanza break | A volta
H | Which term names rhyme that is close but not exact? | Slant rhyme | End rhyme | Internal rhyme | Eye rhyme
H | Which term names rhyme falling inside a single line? | Internal rhyme | End rhyme | Slant rhyme | Masculine rhyme
H | Which sonnet form ends with a rhyming couplet? | The Shakespearean sonnet | The Petrarchan sonnet | The Spenserian octave | The curtal sonnet
H | Which sonnet form splits into an octave and a sestet? | The Petrarchan sonnet | The Shakespearean sonnet | The Miltonic couplet | The terza rima
H | Which term names the turn of thought in a sonnet? | The volta | The refrain | The envoi | The coda
H | Which term names repeating a phrase at the start of several lines? | Anaphora | Epistrophe | Chiasmus | Antithesis
H | Which term names the voice that speaks a poem? | The speaker | The author | The editor | The reader
H | Which American poet wrote Song of Myself? | Walt Whitman | Emily Dickinson | Edgar Allan Poe | Robert Frost
H | Which poet wrote The Road Not Taken? | Robert Frost | Carl Sandburg | Langston Hughes | William Carlos Williams
H | Which poet asked what happens to a dream deferred? | Langston Hughes | Countee Cullen | Claude McKay | Paul Laurence Dunbar

# --- How fiction is built ---

E | Which term names a work of fiction short enough to read at a sitting? | A short story | A novel | A novella | An epic
E | Which term names a book-length work of fiction? | A novel | A short story | An essay | A memoir
E | Which term names the tension about what will happen next? | Suspense | Irony | Mood | Pacing
E | Which character changes over the course of a story? | A dynamic character | A static character | A flat character | A stock character
E | Which character stays the same from beginning to end? | A static character | A dynamic character | A round character | A foil
M | Which term names a work between a short story and a novel? | A novella | An anthology | A serial | A vignette
M | Which term names a collection of stories by many writers? | An anthology | A novella | A trilogy | A compendium
M | Which term names the way an author builds a character? | Characterization | Exposition | Description | Narration
M | Which characterization tells the reader outright what a character is like? | Direct characterization | Indirect characterization | Dynamic characterization | Flat characterization
M | Which characterization shows a character through actions and speech? | Indirect characterization | Direct characterization | Static characterization | Round characterization
M | Which character is fully drawn with many sides? | A round character | A flat character | A stock character | A static character
M | Which character is drawn with a single trait? | A flat character | A round character | A dynamic character | A protagonist
M | Which term names a familiar character type like the wise old mentor? | A stock character | A round character | A dynamic character | A confidant
M | Which term names a surprise ending that overturns expectations? | A twist | A denouement | A climax | A frame
M | Which term names a story told inside another story? | A frame story | A subplot | A flashback | An episode
M | Which term names a second story line running beside the main one? | A subplot | A frame story | A digression | An interlude
M | Which term names the way a writer chooses and arranges words? | Style | Plot | Theme | Setting
M | Which term names an author's particular word choice? | Diction | Syntax | Meter | Register
H | Which term names the final unwinding after the climax? | The denouement | The exposition | The inciting incident | The rising action
