# Earth Science — Grade 6 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Sixth grade science looks down and up: the inside of the planet, the
# plates, the rocks, the soil, the water and the air, then the solar
# system and the four and a half billion years behind us.

! id      | science-6
! name    | Science — Grade 6
! detail  | Earth science: plates, rocks, water, weather, space and deep time.
! icon    | cloud.sun
! tint    | 0.36 0.58 0.66
! rank    | 10
! product | com.oulhen.riskelo.us.pack.science6


# --- Inside the Earth ---

E | Which layer of the Earth do we live on? | The crust | The mantle | The outer core | The inner core
E | Which layer lies just beneath the crust? | The mantle | The outer core | The inner core | The lithosphere
E | Which part of the Earth's core is liquid? | The outer core | The inner core | The mantle | The crust
E | Which two metals make up most of the Earth's core? | Iron and nickel | Silicon and oxygen | Aluminum and magnesium | Copper and zinc
E | Which theory says the surface is broken into moving plates? | Plate tectonics | Continental drift | Isostasy | Uniformitarianism
E | Which boundary has two plates moving apart? | A divergent boundary | A convergent boundary | A transform boundary | A subduction zone
E | Which boundary has two plates pushing together? | A convergent boundary | A divergent boundary | A transform boundary | A rift valley
M | Which rigid outer shell includes the crust and upper mantle? | The lithosphere | The asthenosphere | The mesosphere | The hydrosphere
M | Which soft layer do the plates slide over? | The asthenosphere | The lithosphere | The outer core | The Moho
M | Which boundary has two plates sliding past each other? | A transform boundary | A convergent boundary | A divergent boundary | A hot spot
M | Which process pulls one plate down beneath another? | Subduction | Rifting | Faulting | Uplift
M | Which feature forms where new seafloor is made? | A mid-ocean ridge | A deep-sea trench | A volcanic arc | An abyssal plain
M | Which feature forms where a plate dives back down? | A deep-sea trench | A mid-ocean ridge | A guyot | A seamount
M | Which scientist proposed continental drift in 1912? | Alfred Wegener | Charles Lyell | James Hutton | Harry Hess
M | Which volcanic spot stays put while a plate moves over it? | A hot spot | A rift zone | A subduction zone | A transform fault
M | Which island chain formed over such a spot in the Pacific? | The Hawaiian Islands | The Aleutians | The Marianas | The Japanese islands
M | Which instrument records the shaking of an earthquake? | A seismograph | A barometer | A hygrometer | A magnetometer
H | Which boundary between crust and mantle is named for a scientist? | The Moho | The Gutenberg discontinuity | The Lehmann boundary | The Conrad layer
H | Which slow motion carries heat and drags the plates along? | Convection | Conduction | Radiation | Reflection
H | Which crust is thinner and denser, oceanic or continental? | Oceanic crust | Continental crust | They are the same | It changes with season
H | Which evidence first supported continental drift? | Matching coastlines and fossils | Satellite photographs | Deep sea drilling | Seismic tomography
H | Which seismic waves arrive first at a station? | P waves | S waves | Surface waves | Love waves
H | Which seismic waves cannot travel through liquid? | S waves | P waves | Sound waves | Radio waves
H | Which discovery came from S waves being blocked deep down? | The outer core is liquid | The inner core is liquid | The mantle is molten | The crust is thin
H | Which point underground is where an earthquake starts? | The focus | The epicenter | The fault trace | The rupture front
H | Which point on the surface lies directly above it? | The epicenter | The focus | The nodal point | The strike line
H | How many seismograph stations are needed to locate a quake? | Three | One | Two | Five
H | Which crack in rock lets blocks slip past each other? | A fault | A joint | A fold | A dike

# --- Minerals and rocks ---

E | Which three groups do all rocks fall into? | Igneous, sedimentary, metamorphic | Hard, soft and medium | Volcanic, oceanic, glacial | Crystal, glass and clay
E | Which rocks form when molten rock cools? | Igneous rocks | Sedimentary rocks | Metamorphic rocks | Clastic rocks
E | Which rocks form from layers pressed together? | Sedimentary rocks | Igneous rocks | Metamorphic rocks | Plutonic rocks
E | Which rocks are changed by heat and pressure? | Metamorphic rocks | Igneous rocks | Sedimentary rocks | Extrusive rocks
E | Which molten rock is called lava once it reaches the surface? | Magma | Tephra | Pumice | Obsidian
E | Which igneous rock cools slowly underground with large crystals? | Granite | Basalt | Obsidian | Pumice
E | Which metamorphic rock comes from limestone? | Marble | Slate | Gneiss | Quartzite
E | Which scale measures a mineral's hardness? | The Mohs scale | The Richter scale | The Beaufort scale | The Rockwell scale
E | Which mineral is the hardest on that scale? | Diamond | Corundum | Quartz | Topaz
M | Which igneous rock cools fast at the surface with tiny crystals? | Basalt | Granite | Diorite | Gabbro
M | Which sedimentary rock is made of cemented sand grains? | Sandstone | Limestone | Shale | Conglomerate
M | Which sedimentary rock is made mostly of calcium carbonate? | Limestone | Sandstone | Shale | Chert
M | Which sedimentary rock is made of hardened mud? | Shale | Sandstone | Limestone | Breccia
M | Which metamorphic rock comes from shale? | Slate | Marble | Quartzite | Schist
M | Which metamorphic rock comes from sandstone? | Quartzite | Marble | Slate | Gneiss
M | Which cycle describes rocks changing from one type to another? | The rock cycle | The carbon cycle | The water cycle | The nitrogen cycle
H | Which igneous rock is a natural glass with no crystals? | Obsidian | Granite | Basalt | Rhyolite
H | Which igneous rock is full of gas holes and floats on water? | Pumice | Obsidian | Basalt | Scoria
H | Which sedimentary rock is made of rounded pebbles cemented together? | Conglomerate | Breccia | Sandstone | Siltstone
H | Which metamorphic rock comes from granite under great pressure? | Gneiss | Marble | Slate | Quartzite
H | Which mineral is the softest on the hardness scale? | Talc | Gypsum | Calcite | Fluorite
H | Which test rubs a mineral to see the color of its powder? | The streak test | The cleavage test | The luster test | The fracture test
H | Which property describes how a mineral reflects light? | Luster | Streak | Cleavage | Density
H | Which property describes a mineral breaking along flat planes? | Cleavage | Fracture | Streak | Hardness
