# History — Grade 9 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# The ninth-grade modern world history course: the Enlightenment and the
# age of revolutions, industry, nationalism, empire, the two world wars,
# the Cold War and decolonization.
#
# Two hundred questions, and no prompt duplicates one in any other file —
# including the free History deck, which crosses the same centuries at a
# gentler altitude.

! id      | history-9
! name    | History — Grade 9
! detail  | The modern world, from the Enlightenment to the fall of the Wall.
! icon    | globe.europe.africa
! tint    | 0.45 0.50 0.72
! rank    | 19
! product | com.oulhen.riskelo.us.pack.history9


# --- The Enlightenment and the age of revolutions ---

E | Which French uprising began with the storming of the Bastille in 1789? | The French Revolution | The Paris Commune | The July Revolution | The Fronde
E | Which French emperor crowned himself in 1804? | Napoleon Bonaparte | Louis XVI | Charles X | Napoleon III
E | Which 1815 battle ended Napoleon's rule for good? | Waterloo | Austerlitz | Trafalgar | Borodino
E | Which thinker argued that power should be split into three branches? | Montesquieu | Voltaire | Rousseau | Diderot
E | Which movement of the 1700s put reason above inherited tradition? | The Enlightenment | The Renaissance | Romanticism | The Reformation
M | Which document did the French National Assembly adopt in 1789? | The Declaration of the Rights of Man | The Civil Code | The Tennis Court Oath | The Constitution of 1791
M | Which period of the French Revolution is named for its executions? | The Terror | The Directory | The Consulate | Thermidor
M | Which lawyer dominated the Committee of Public Safety? | Robespierre | Danton | Marat | Sieyes
M | Which device became the symbol of revolutionary executions? | The guillotine | The gallows | The garrote | The pillory
M | Which legal code did Napoleon impose across much of Europe? | The Napoleonic Code | The Justinian Code | The Salic law | The Code of Hammurabi
M | Which island held Napoleon after his final defeat? | Saint Helena | Elba | Corsica | Malta
M | Which congress redrew Europe's borders after Napoleon fell? | The Congress of Vienna | The Congress of Berlin | The Peace of Westphalia | The Treaty of Utrecht
M | Which Caribbean colony won independence after a slave revolt in 1804? | Haiti | Cuba | Jamaica | Martinique
M | Which leader led the Haitian revolt before the French captured him? | Toussaint Louverture | Jean-Jacques Dessalines | Henri Christophe | Andre Rigaud
M | Which general liberated much of northern South America? | Simon Bolivar | Jose de San Martin | Bernardo O'Higgins | Miguel Hidalgo
M | Which general led independence campaigns in Argentina, Chile and Peru? | Jose de San Martin | Simon Bolivar | Antonio Sucre | Francisco Miranda
M | Which priest launched Mexico's independence movement in 1810? | Miguel Hidalgo | Jose Morelos | Agustin de Iturbide | Benito Juarez
M | Which Portuguese colony became an independent empire in 1822? | Brazil | Angola | Mozambique | Goa
H | Which philosopher wrote The Social Contract? | Rousseau | Locke | Hobbes | Voltaire
H | Which English philosopher argued for natural rights to life, liberty and property? | John Locke | Thomas Hobbes | David Hume | Adam Smith
H | Which 1776 book by Adam Smith argued for free markets? | The Wealth of Nations | Leviathan | The Spirit of the Laws | Principles of Economics
H | Which writer's Candide mocked blind optimism? | Voltaire | Rousseau | Montesquieu | Beaumarchais
H | Which multi-volume French work tried to gather all human knowledge? | The Encyclopedie | The Grand Dictionnaire | The Almanach | The Summa
H | Which three estates made up French society before 1789? | Clergy, nobility, commoners | Nobles, merchants, peasants | Crown, church, army | Rich, middling, poor
H | Which oath did deputies swear in 1789 rather than disband? | The Tennis Court Oath | The Oath of the Horatii | The Civic Oath | The Oath of Strasbourg
H | Which 1799 coup brought Napoleon to power? | The coup of 18 Brumaire | The coup of Fructidor | The Vendemiaire rising | The Thermidor reaction
H | Which 1812 campaign destroyed Napoleon's Grande Armee? | The invasion of Russia | The Peninsular War | The Egyptian campaign | The Italian campaign
H | Which British admiral broke the French fleet in 1805? | Nelson | Collingwood | Rodney | Jellicoe
H | Which 1848 wave of uprisings shook capitals across Europe? | The Springtime of Nations | The July Revolution | The Chartist risings | The Decembrist revolt
H | Which 1830 French revolution replaced Charles X with Louis-Philippe? | The July Revolution | The February Revolution | The Paris Commune | The Hundred Days

# --- The Industrial Revolution ---

E | In which country did the Industrial Revolution begin? | Britain | France | Germany | The United States
E | Which fuel powered the first industrial factories and railways? | Coal | Oil | Natural gas | Peat
E | Which invention freed factories from the need for a water wheel? | The steam engine | The dynamo | The turbine | The windmill
M | Which Scottish engineer improved the steam engine in the 1760s? | James Watt | Thomas Newcomen | Richard Arkwright | George Stephenson
M | Which industry industrialized first in Britain? | Textiles | Steel | Chemicals | Shipbuilding
M | Which invention sped up weaving in the early 1700s? | The flying shuttle | The cotton gin | The power loom | The spinning jenny
M | Which invention of Eli Whitney sped up the cleaning of cotton? | The cotton gin | The reaper | The sewing machine | The spinning mule
