# Life Science — Grade 7 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Seventh grade science is alive: the cell, the way we sort living
# things, plants and animals, the human body, the first rules of
# heredity, and how it all hangs together in an ecosystem.

! id      | science-7
! name    | Science — Grade 7
! detail  | Life science: cells, classification, plants, animals, the body and ecology.
! icon    | pawprint
! tint    | 0.52 0.72 0.38
! rank    | 14
! product | com.oulhen.riskelo.us.pack.science7


# --- The cell ---

E | Which unit is the basic building block of all living things? | The cell | The atom | The organ | The tissue
E | Which instrument do we use to look at cells? | A microscope | A telescope | A spectroscope | A stethoscope
E | Which part controls the activity of a plant or animal cell? | The nucleus | The vacuole | The ribosome | The cell wall
E | Which structure surrounds every cell and controls what enters? | The cell membrane | The cell wall | The nucleus | The cytoplasm
E | Which jelly fills the cell around its parts? | The cytoplasm | The nucleus | The membrane | The vacuole
E | Which cell part captures sunlight in plants? | The chloroplast | The mitochondrion | The ribosome | The lysosome
E | Which cell part releases energy from food? | The mitochondrion | The chloroplast | The nucleus | The vacuole
E | Which stiff layer surrounds plant cells but not animal cells? | The cell wall | The cell membrane | The cytoplasm | The nuclear envelope
E | Which cell part builds proteins? | The ribosome | The lysosome | The vacuole | The centriole
E | Which cells have no nucleus at all? | Prokaryotic cells | Eukaryotic cells | Plant cells | Animal cells
M | Which large sac stores water in a plant cell? | The central vacuole | The nucleolus | The lysosome | The vesicle
M | Which cells keep their DNA inside a nucleus? | Eukaryotic cells | Prokaryotic cells | Bacterial cells | Archaeal cells
M | Which scientist first named cells after looking at cork? | Robert Hooke | Anton van Leeuwenhoek | Matthias Schleiden | Rudolf Virchow
M | Which level of organization comes just above the cell? | The tissue | The organ | The organ system | The organism
H | Which sugar makes up plant cell walls? | Cellulose | Glucose | Starch | Chitin
H | Which network of tubes moves materials inside the cell? | The endoplasmic reticulum | The Golgi apparatus | The cytoskeleton | The nuclear pore
H | Which cell part packages and ships proteins? | The Golgi apparatus | The ribosome | The nucleus | The vacuole
H | Which cell part digests waste with enzymes? | The lysosome | The ribosome | The chloroplast | The vacuole
H | Which theory says all living things are made of cells? | Cell theory | Germ theory | Endosymbiosis | Spontaneous generation
H | Which scientist first saw living microorganisms in pond water? | Anton van Leeuwenhoek | Robert Hooke | Louis Pasteur | Robert Koch
H | Which level of organization comes just above the tissue? | The organ | The cell | The organism | The population
H | Which process moves particles from high to low concentration? | Diffusion | Active transport | Endocytosis | Phagocytosis
H | Which kind of diffusion moves water across a membrane? | Osmosis | Active transport | Filtration | Exocytosis
H | Which transport needs energy to move against a gradient? | Active transport | Diffusion | Osmosis | Facilitated diffusion
H | Which process brings large particles into a cell in a pouch? | Endocytosis | Exocytosis | Osmosis | Diffusion
H | Which process pushes materials out of a cell in a vesicle? | Exocytosis | Endocytosis | Diffusion | Osmosis
H | Which term describes a membrane that lets only some things through? | Selectively permeable | Impermeable | Fully permeable | Rigid
H | Which idea says mitochondria were once free-living bacteria? | Endosymbiosis | Spontaneous generation | Panspermia | Preformation

# --- Sorting living things ---

E | Which science sorts and names living things? | Taxonomy | Ecology | Genetics | Anatomy
E | Which two words make up a scientific name? | Genus and species | Family and order | Kingdom and phylum | Class and genus
M | Which scientist created the two-word naming system? | Carl Linnaeus | Charles Darwin | Gregor Mendel | Georges Cuvier
M | Which kingdom includes mushrooms and molds? | Fungi | Plantae | Protista | Bacteria
M | Which kingdom makes its own food by photosynthesis? | Plantae | Animalia | Fungi | Bacteria
M | Which animals have a backbone? | Vertebrates | Invertebrates | Arthropods | Mollusks
M | Which animals have no backbone? | Invertebrates | Vertebrates | Mammals | Reptiles
M | Which five groups make up the vertebrates? | Fish, amphibians, reptiles, birds, mammals | Insects, spiders, worms, snails, crabs | Fish, insects, birds, mammals, reptiles | Reptiles, birds, mammals, fungi, plants
M | Which class of vertebrates feeds its young milk? | Mammals | Birds | Reptiles | Amphibians
M | Which class of vertebrates lives partly in water and partly on land? | Amphibians | Reptiles | Fish | Birds
M | Which class of vertebrates has feathers? | Birds | Mammals | Reptiles | Amphibians
M | Which invertebrate group has jointed legs and an exoskeleton? | Arthropods | Mollusks | Annelids | Cnidarians
M | Which arthropods have six legs and three body parts? | Insects | Spiders | Crustaceans | Millipedes
H | Which is the broadest rank, above kingdom? | Domain | Phylum | Class | Family
H | Which three domains do biologists recognize? | Bacteria, Archaea, Eukarya | Plants, Animals, Fungi | Prokarya, Eukarya, Virya | Monera, Protista, Fungi
H | Which order lists the ranks from broad to narrow? | Domain, kingdom, phylum, class | Class, order, family, genus | Species, genus, family, order | Kingdom, class, phylum, order
