# History — Grade 7 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# The seventh-grade world history course: Byzantium and the rise of Islam,
# feudal Europe, the empires of Africa and the Americas, medieval Asia,
# the Renaissance and Reformation, and the age of exploration.
#
# Two hundred questions, and no prompt duplicates one in any other file.

! id      | history-7
! name    | History — Grade 7
! detail  | The medieval and early modern world, from Byzantium to Columbus.
! icon    | crown
! tint    | 0.56 0.32 0.58
! rank    | 11
! product | com.oulhen.riskelo.us.pack.history7


# --- Byzantium ---

E | Which empire carried on after the western Roman Empire fell? | The Byzantine Empire | The Holy Roman Empire | The Ottoman Empire | The Frankish Empire
E | Which city was the Byzantine capital? | Constantinople | Rome | Athens | Antioch
M | Which Byzantine emperor had Roman law collected into one code? | Justinian | Constantine | Basil II | Heraclius
M | Which great domed church did Justinian build in his capital? | Hagia Sophia | St. Mark's | The Church of the Nativity | St. John Lateran
M | Which empress ruled beside Justinian and urged him to stand firm? | Theodora | Irene | Zoe | Anna
M | Which weapon of liquid fire helped Byzantine ships win battles? | Greek fire | Naphtha bombs | Pitch arrows | Wildfire oil
M | Which split in 1054 divided eastern and western Christianity? | The Great Schism | The Reformation | The Iconoclasm | The Investiture Contest
H | Which branch of Christianity grew from the Byzantine church? | Eastern Orthodoxy | Roman Catholicism | Lutheranism | Coptic Christianity
H | Which Byzantine controversy involved destroying religious images? | Iconoclasm | Arianism | Monophysitism | Nestorianism
H | Which alphabet did missionaries create for Slavic peoples? | Cyrillic | Glagolitic only | Runic | Gothic
H | Which two brothers are credited with bringing writing to the Slavs? | Cyril and Methodius | Boris and Gleb | Peter and Paul | Vladimir and Olga
H | In which year did Constantinople finally fall to the Ottomans? | 1453 | 1204 | 1071 | 1517
H | Which 1071 battle opened Anatolia to the Seljuk Turks? | Manzikert | Yarmouk | Nicopolis | Varna

# --- The rise and spread of Islam ---

E | On which peninsula did Islam begin? | The Arabian Peninsula | The Iberian Peninsula | The Balkan Peninsula | The Anatolian Peninsula
E | Which city is the holiest in Islam? | Mecca | Medina | Damascus | Baghdad
M | Which city did Muhammad and his followers move to in 622? | Medina | Mecca | Jerusalem | Kufa
M | What is the Muslim holy book called? | The Quran | The Hadith | The Torah | The Sunna
M | What is the title given to Muhammad's successors as leaders? | Caliph | Sultan | Emir | Vizier
M | How many pillars of practice does Islam set out? | Five | Three | Seven | Ten
M | Which pilgrimage to Mecca is expected once in a lifetime? | The hajj | The umrah only | The zakat | The salat
M | Which dynasty ruled the caliphate from Damascus? | The Umayyads | The Abbasids | The Fatimids | The Seljuks
M | Which dynasty moved the caliphate's center to Baghdad? | The Abbasids | The Umayyads | The Ayyubids | The Mamluks
M | Which region of Spain was ruled by Muslims for centuries? | Al-Andalus | Aquitaine | Navarre | Asturias
