# Sports & Games — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Football, baseball, basketball and hockey first, the rest of the world
# after, and board and card games at the end.
#
# No current champions and no standing records. A deck that names whoever
# leads today is a deck that is wrong by next season, and nobody will write
# in to say so — they will simply stop trusting it. Rules, firsts and
# settled history only.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | sports
! name    | Sports & Games
! icon    | figure.run
! tint    | 0.88 0.52 0.24
! rank    | 4


# --- Football ---

E | How many players from one team are on the field in football? | Eleven | Ten | Twelve | Nine
E | How many points is a touchdown worth? | Six | Seven | Three | Five
E | How many points is a field goal worth? | Three | Six | One | Two
E | How long is a football field between the goal lines? | 100 yards | 120 yards | 90 yards | 110 yards
E | How many downs does an offense get to gain ten yards? | Four | Three | Five | Two
E | What is the championship game of the NFL called? | The Super Bowl | The World Series | The Stanley Cup | The Final Four
M | How many points is a safety worth? | Two | One | Three | Six
M | Which team won the first Super Bowl, in 1967? | The Green Bay Packers | The Kansas City Chiefs | The New York Jets | The Baltimore Colts
M | Which trophy goes to the Super Bowl winner? | The Vince Lombardi Trophy | The Halas Trophy | The Heisman Trophy | The Commissioner's Cup
M | Which award honors the best player in college football? | The Heisman Trophy | The Maxwell Award | The Outland Trophy | The Lombardi Award
M | How many yards deep is each end zone? | Ten | Five | Fifteen | Twenty
M | How long is each quarter in an NFL game? | Fifteen minutes | Twelve minutes | Twenty minutes | Ten minutes
M | What is the position that throws the ball called? | Quarterback | Running back | Tight end | Center
M | Which line does the ball have to cross for a touchdown? | The goal line | The line of scrimmage | The ten-yard line | The sideline
M | Which conference and which other make up the NFL? | The AFC and the NFC | The AFL and the NFL | The East and the West | The National and the American
M | How many points does a successful kick after a touchdown add? | One | Two | Three | Six
H | Which two leagues merged to form the modern NFL in 1970? | The NFL and the AFL | The NFL and the AAFC | The AFL and the CFL | The NFL and the USFL
H | Which team plays its home games at Lambeau Field? | The Green Bay Packers | The Chicago Bears | The Minnesota Vikings | The Detroit Lions
H | Which college football game is played in Pasadena on New Year's Day? | The Rose Bowl | The Sugar Bowl | The Orange Bowl | The Cotton Bowl
H | Which coach has the Super Bowl trophy named after him? | Vince Lombardi | George Halas | Paul Brown | Tom Landry
H | Which quarterback led the Jets to a famous upset in Super Bowl III? | Joe Namath | Johnny Unitas | Bart Starr | Len Dawson
H | Which running back gained the most yards in a single NFL season in 1984? | Eric Dickerson | Walter Payton | O. J. Simpson | Barry Sanders
H | Which team was the first to complete an undefeated NFL season and win it all? | The 1972 Miami Dolphins | The 1985 Chicago Bears | The 2007 New England Patriots | The 1962 Green Bay Packers
H | How many officials normally work an NFL game? | Seven | Five | Nine | Four
H | Which service academies meet in a famous December football game? | Army and Navy | Army and Air Force | Navy and Coast Guard | Air Force and Navy

# --- Baseball ---

E | How many innings are in a regulation baseball game? | Nine | Seven | Six | Eleven
E | How many strikes make an out? | Three | Two | Four | Five
E | How many balls make a walk? | Four | Three | Five | Six
E | How many players from one team take the field on defense? | Nine | Ten | Eight | Eleven
E | What is the championship series of Major League Baseball called? | The World Series | The Super Bowl | The Fall Classic Cup | The Commissioner's Series
E | How many bases must a runner touch to score? | Four | Three | Five | Two
M | How far apart are the bases on a major league diamond? | Ninety feet | Eighty feet | One hundred feet | Sixty feet
M | How far is the pitcher's rubber from home plate? | Sixty feet six inches | Sixty feet | Fifty feet | Sixty-six feet
M | Which award honors the best pitcher in each league? | The Cy Young Award | The Silver Slugger | The Gold Glove | The Hank Aaron Award
M | Who broke Major League Baseball's color barrier in 1947? | Jackie Robinson | Larry Doby | Satchel Paige | Roy Campanella
M | For which team did Jackie Robinson first play in the majors? | The Brooklyn Dodgers | The New York Giants | The Cleveland Indians | The Boston Braves
M | Which slugger was nicknamed the Sultan of Swat? | Babe Ruth | Lou Gehrig | Hank Aaron | Ty Cobb
M | Which ballpark is home to the Green Monster? | Fenway Park | Wrigley Field | Yankee Stadium | Camden Yards
M | Which Chicago ballpark is famous for its ivy-covered outfield walls? | Wrigley Field | Comiskey Park | Guaranteed Rate Field | Soldier Field
M | What is it called when a batter hits the ball out of play in fair territory and circles the bases? | A home run | A triple | A ground-rule double | An inside hit
M | How many outs end a half-inning? | Three | Two | Four | One
H | Which player was nicknamed the Iron Horse and played 2,130 straight games? | Lou Gehrig | Cal Ripken Jr. | Joe DiMaggio | Ty Cobb
H | Which player broke Gehrig's consecutive games streak in 1995? | Cal Ripken Jr. | Pete Rose | Steve Garvey | Miguel Tejada
H | Which player hit safely in fifty-six straight games in 1941? | Joe DiMaggio | Ted Williams | Pete Rose | Willie Keeler
H | Which player was the last to bat over .400 in a season, in 1941? | Ted Williams | Joe DiMaggio | Rogers Hornsby | Stan Musial
H | Which pitcher struck out the most batters in a career, retiring in 1993? | Nolan Ryan | Walter Johnson | Steve Carlton | Randy Johnson
H | Which town holds the National Baseball Hall of Fame? | Cooperstown | Springfield | Canton | Saratoga
H | What do we call a pitch that no batter reaches base on all game? | A perfect game | A no-hitter | A shutout | A complete game
H | What do we call a game in which the pitcher allows no hits? | A no-hitter | A perfect game | A shutout | A quality start
H | Which leagues did Black players form before integration? | The Negro Leagues | The Continental League | The Federal League | The Players League
H | Which player hit 714 home runs and pitched for the Red Sox first? | Babe Ruth | Lou Gehrig | Jimmie Foxx | Mel Ott

# --- Basketball ---

E | How many players from one team are on the court in basketball? | Five | Six | Four | Seven
E | How high is a basketball hoop from the floor? | Ten feet | Nine feet | Twelve feet | Eight feet
E | How many points is a basket from beyond the arc worth? | Three | Two | Four | One
E | How many points is a free throw worth? | One | Two | Three | Half a point
E | What is the championship round of the NBA called? | The NBA Finals | The World Series | The Super Bowl | The Stanley Cup
M | How long is each quarter in an NBA game? | Twelve minutes | Ten minutes | Fifteen minutes | Eight minutes
M | How long does a team have to attempt a shot in the NBA? | Twenty-four seconds | Thirty seconds | Thirty-five seconds | Twenty seconds
M | Which trophy goes to the NBA champion? | The Larry O'Brien Trophy | The Vince Lombardi Trophy | The Naismith Cup | The Commissioner's Trophy
M | Who invented basketball in 1891? | James Naismith | Amos Alonzo Stagg | Walter Camp | Abner Doubleday
M | With what did Naismith's first players score in the original game? | A peach basket | A wooden hoop | A net on a pole | A barrel
M | Which nickname is given to the NCAA basketball tournament? | March Madness | The Big Dance only | The Final Countdown | The Spring Classic
M | How many teams reach the semifinal round of the NCAA tournament? | Four | Eight | Two | Sixteen
M | What is it called when a player takes more than two steps without dribbling? | Traveling | Double dribble | Carrying | Backcourt
M | What is it called when a player stops dribbling then starts again? | A double dribble | Traveling | Palming | A backcourt violation
H | Which player scored one hundred points in a single NBA game in 1962? | Wilt Chamberlain | Elgin Baylor | Bob Pettit | Oscar Robertson
H | Which team won eight straight NBA titles from 1959 to 1966? | The Boston Celtics | The Minneapolis Lakers | The Philadelphia Warriors | The Syracuse Nationals
H | Which center won eleven NBA championships with Boston? | Bill Russell | Wilt Chamberlain | Kareem Abdul-Jabbar | Bob Cousy
H | Which shot is Kareem Abdul-Jabbar most identified with? | The skyhook | The fadeaway | The jump hook | The finger roll
H | Which women's professional basketball league began play in 1997? | The WNBA | The ABL | The NWBL | The WBL
H | Which college coach won ten NCAA titles at UCLA? | John Wooden | Dean Smith | Adolph Rupp | Bob Knight
H | Which trophy is given to the best college basketball player? | The Naismith Award | The Heisman Trophy | The Wooden Cup | The Rupp Trophy
H | In which town is the Basketball Hall of Fame? | Springfield | Cooperstown | Canton | Indianapolis
H | Which team of touring showmen has played exhibition basketball since 1926? | The Harlem Globetrotters | The New York Rens | The Original Celtics | The Barnstormers

# --- Hockey ---

E | How many skaters and a goalie make a hockey team on the ice? | Five skaters and a goalie | Six skaters and a goalie | Four skaters and a goalie | Seven skaters and a goalie
E | What trophy goes to the NHL champion? | The Stanley Cup | The Vince Lombardi Trophy | The Commissioner's Trophy | The Hart Cup
E | How many periods are in a hockey game? | Three | Four | Two | Five
M | How long is each period in an NHL game? | Twenty minutes | Fifteen minutes | Twelve minutes | Twenty-five minutes
M | What is it called when a player scores three goals in a game? | A hat trick | A triple | A trifecta | A treble play
M | Which award honors the NHL's most valuable player? | The Hart Trophy | The Norris Trophy | The Vezina Trophy | The Art Ross Trophy
M | Which award honors the NHL's best goaltender? | The Vezina Trophy | The Hart Trophy | The Selke Trophy | The Calder Trophy
M | What is the rubber disc used in hockey called? | The puck | The ball | The disc | The biscuit stone
H | Which penalty sends a player off for two minutes? | A minor penalty | A major penalty | A misconduct | A match penalty
H | Which nickname belongs to Wayne Gretzky? | The Great One | The Rocket | Mr. Hockey | The Golden Jet
