# Physical Science — Grade 8 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Eighth grade science turns to matter and motion: states and mixtures,
# the atom and the periodic table, reactions, forces, energy, waves and
# the two halves of one thing, electricity and magnetism.

! id      | science-8
! name    | Science — Grade 8
! detail  | Physical science: matter, atoms, reactions, forces, energy and waves.
! icon    | atom
! tint    | 0.78 0.58 0.26
! rank    | 18
! product | com.oulhen.riskelo.us.pack.science8


# --- Matter ---

E | Which term names anything that has mass and takes up space? | Matter | Energy | Force | Charge
E | Which three states of matter are the most common on Earth? | Solid, liquid and gas | Solid, plasma and gas | Liquid, gas and crystal | Solid, liquid and plasma
E | Which state has a fixed shape and a fixed volume? | A solid | A liquid | A gas | A plasma
E | Which state has a fixed volume but takes its container's shape? | A liquid | A solid | A gas | A crystal
E | Which state fills whatever container it is put in? | A gas | A solid | A liquid | A crystal
E | Which change turns a solid into a liquid? | Melting | Freezing | Condensation | Sublimation
E | Which change turns a liquid into a solid? | Freezing | Melting | Boiling | Evaporation
E | Which fourth state of matter is found in stars? | Plasma | Solid | Liquid | Gas
E | Which property measures mass per unit of volume? | Density | Weight | Volume | Pressure
M | Which change turns a solid straight into a gas? | Sublimation | Melting | Condensation | Deposition
M | Which change turns a gas straight into a solid? | Deposition | Sublimation | Freezing | Condensation
M | Which object floats in water? | One less dense than water | One heavier than water | One larger than water | One warmer than water
M | Which change makes an entirely new substance? | A chemical change | A physical change | A phase change | A dissolution
M | Which change alters the form but keeps the same substance? | A physical change | A chemical change | A reaction | Combustion
M | Which two parts make up a solution? | A solute and a solvent | Two solids | Two gases | Two immiscible liquids
H | Which property of matter does not depend on the amount present? | An intensive property | An extensive property | A chemical change | A mixture
H | Which property depends on how much material there is? | An extensive property | An intensive property | A physical constant | A phase
H | Which mixture looks the same all the way through? | A homogeneous mixture | A heterogeneous mixture | A suspension | A colloid
H | Which mixture has visibly different parts? | A heterogeneous mixture | A homogeneous mixture | A solution | An alloy
H | Which part of a solution does the dissolving? | The solvent | The solute | The precipitate | The residue
H | Which method separates a solid from a liquid using paper? | Filtration | Distillation | Chromatography | Decanting
H | Which method separates liquids by their boiling points? | Distillation | Filtration | Decanting | Sieving
H | Which method separates dyes by how far they travel on paper? | Chromatography | Distillation | Filtration | Centrifuging
H | Which mixture keeps particles suspended and scatters light? | A colloid | A solution | An alloy | A compound
H | Which law says matter is neither created nor destroyed? | Conservation of mass | Conservation of energy | Definite proportions | Multiple proportions
H | Which term names a substance of two or more elements bonded together? | A compound | A mixture | An alloy | An isotope

# --- Atoms and the periodic table ---

E | Which particle carries a positive charge in an atom? | The proton | The electron | The neutron | The photon
E | Which particle carries a negative charge? | The electron | The proton | The neutron | The positron
E | Which particle has no charge at all? | The neutron | The proton | The electron | The ion
E | Where in the atom are the protons and neutrons found? | In the nucleus | In the shells | In the orbitals | Outside the atom
E | Which number of protons defines an element? | The atomic number | The mass number | The valence number | The isotope number
E | Which chart arranges the elements by atomic number? | The periodic table | The activity series | The solubility chart | The electrochemical series
E | Which element is the most common in the universe? | Hydrogen | Helium | Oxygen | Carbon
E | Which element has the symbol Fe? | Iron | Fluorine | Francium | Fermium
E | Which element has the symbol Au? | Gold | Silver | Aluminum | Argon
M | Which term names a row of the periodic table? | A period | A group | A block | A series
M | Which term names a column of the periodic table? | A group | A period | A shell | A block
M | Which elements sit in the far left column? | The alkali metals | The noble gases | The halogens | The transition metals
M | Which elements sit in the far right column? | The noble gases | The alkali metals | The halogens | The metalloids
M | Which element has atomic number 6? | Carbon | Oxygen | Nitrogen | Boron
M | Which element has the symbol Na? | Sodium | Nitrogen | Nickel | Neon
M | Which term names an atom that has gained or lost electrons? | An ion | An isotope | A radical | A molecule
H | Which Russian chemist left gaps in his table for undiscovered elements? | Dmitri Mendeleev | John Dalton | Ernest Rutherford | Niels Bohr
H | Which reactive elements fill the column next to the noble gases? | The halogens | The alkali metals | The alkaline earth metals | The lanthanides
H | Which element has the symbol K? | Potassium | Krypton | Calcium | Cadmium
H | Which element has the symbol Ag? | Silver | Gold | Argon | Astatine
H | Which element has the symbol Pb? | Lead | Phosphorus | Palladium | Platinum
H | Which term names atoms of one element with different neutron counts? | Isotopes | Ions | Allotropes | Isomers
H | Which ion forms when an atom loses electrons? | A positive ion | A negative ion | A neutral ion | A radical
H | Which electrons take part in bonding? | The valence electrons | The core electrons | The nuclear electrons | The inner shell electrons
H | Which model placed electrons in fixed orbits around a nucleus? | The Bohr model | The plum pudding model | The quantum cloud model | Dalton's model
H | Which experiment showed the atom has a tiny dense nucleus? | Rutherford's gold foil | Millikan's oil drop | Thomson's cathode ray | Chadwick's beryllium test
H | Which scientist discovered the electron? | J. J. Thomson | Ernest Rutherford | James Chadwick | Niels Bohr
