# Geography — Grade 8 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Eighth grade, the year the history course spends at home: the fifty
# states and their capitals, the rivers and mountains, the weather that
# comes with each region, the cities, the parks and what the ground gives.

! id      | geography-8
! name    | Geography — Grade 8
! detail  | The United States: states, capitals, landforms, weather and cities.
! icon    | mappin.and.ellipse
! tint    | 0.24 0.44 0.72
! rank    | 16
! product | com.oulhen.riskelo.us.pack.geography8


# --- The nation and its regions ---

E | How many states make up the United States? | Fifty | Forty-eight | Fifty-two | Forty-nine
E | Which state covers the most square miles? | Alaska | Texas | California | Montana
E | Which state covers the fewest square miles? | Rhode Island | Delaware | Connecticut | New Jersey
E | Which state has the largest population? | California | Texas | Florida | New York
E | Which two states touch no other state? | Alaska and Hawaii | Alaska and Maine | Hawaii and Florida | Maine and Washington
E | Which ocean borders the East Coast? | The Atlantic | The Pacific | The Arctic | The Gulf of Mexico
E | Which region includes Maine, Vermont and Massachusetts? | New England | The Mid-Atlantic | The Midwest | The South
E | Which state joined the Union most recently? | Hawaii | Alaska | Arizona | New Mexico
E | Which territory did the United States buy from Russia in 1867? | Alaska | Hawaii | The Virgin Islands | Guam
M | How many states make up New England? | Six | Four | Five | Eight
M | Which region is called the Corn Belt? | The Midwest | The South | The Southwest | The Northwest
M | Which group of states is known as the Sun Belt? | The South and Southwest | The Northeast | The Upper Midwest | The Pacific Northwest
M | Which region lost factories and gained the name Rust Belt? | The Great Lakes and Ohio valley | The Deep South | The Southwest | New England
M | Which belt of southern states is named for its churches? | The Bible Belt | The Cotton Belt | The Black Belt | The Sun Belt
M | Which four states touch at the corner monument out west? | Utah, Colorado, Arizona, New Mexico | Idaho, Montana, Wyoming, Utah | Kansas, Missouri, Iowa, Nebraska | Kentucky, Tennessee, Virginia, Ohio
M | Which state ratified the Constitution ahead of all the others? | Delaware | Pennsylvania | Virginia | Massachusetts
M | Which district holds the national capital? | The District of Columbia | Prince George's County | Arlington County | The Federal Territory
H | Which state's nickname is said to come from George Washington? | New York | California | Texas | Illinois
H | Which state took its nickname from a gold rush? | California | Colorado | Nevada | Alaska
H | Which state flies a single star on its flag and in its nickname? | Texas | Oklahoma | Arizona | New Mexico
H | Which state is nicknamed the Sunshine State? | Florida | California | Arizona | Hawaii
H | Which state calls itself the Land of Lincoln? | Illinois | Kentucky | Indiana | Ohio
H | Which state besides Virginia, Pennsylvania and Massachusetts is a commonwealth? | Kentucky | Ohio | Maryland | Delaware
H | Which line historically divided free states from slave states? | The Mason-Dixon Line | The 49th parallel | The Continental Divide | The Ohio boundary
H | Which purchase of 1803 doubled the size of the country? | The Louisiana Purchase | The Gadsden Purchase | The Alaska Purchase | The Florida cession

# --- States and capitals ---

E | Which city is the capital of the United States? | Washington | New York | Philadelphia | Boston
E | Which city is the capital of California? | Sacramento | Los Angeles | San Francisco | San Diego
E | Which city is the capital of Texas? | Austin | Houston | Dallas | San Antonio
E | Which city is the capital of New York State? | Albany | New York City | Buffalo | Rochester
E | Which city is the capital of Florida? | Tallahassee | Miami | Orlando | Jacksonville
E | Which city is the capital of Illinois? | Springfield | Chicago | Peoria | Rockford
E | Which city is the capital of Pennsylvania? | Harrisburg | Philadelphia | Pittsburgh | Erie
E | Which city is the capital of Ohio? | Columbus | Cleveland | Cincinnati | Toledo
E | Which city is the capital of Georgia? | Atlanta | Savannah | Augusta | Macon
E | Which city is the capital of Colorado? | Denver | Boulder | Colorado Springs | Aurora
E | Which city is the capital of Arizona? | Phoenix | Tucson | Mesa | Flagstaff
E | Which city is the capital of Massachusetts? | Boston | Worcester | Springfield | Cambridge
E | Which city is the capital of Tennessee? | Nashville | Memphis | Knoxville | Chattanooga
E | Which city is the capital of Hawaii? | Honolulu | Hilo | Kailua | Lahaina
E | Which city is the capital of Indiana? | Indianapolis | Fort Wayne | Evansville | South Bend
M | Which city is the capital of Michigan? | Lansing | Detroit | Grand Rapids | Ann Arbor
M | Which city is the capital of Washington State? | Olympia | Seattle | Spokane | Tacoma
M | Which city is the capital of Oregon? | Salem | Portland | Eugene | Bend
