# Geography — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Half the file is the United States, half is the rest of the world. That
# is what a general-knowledge deck looks like on this side of the Atlantic:
# a player who cannot place Wyoming has no business being asked about
# Burkina Faso first.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | geography
! name    | Geography
! icon    | globe.americas
! tint    | 0.26 0.55 0.80
! rank    | 0


# --- The fifty states: capitals ---

E | What is the capital of California? | Sacramento | Los Angeles | San Francisco | San Diego
E | What is the capital of New York State? | Albany | New York City | Buffalo | Rochester
E | What is the capital of Texas? | Austin | Houston | Dallas | San Antonio
E | What is the capital of Florida? | Tallahassee | Miami | Orlando | Jacksonville
E | What is the capital of Illinois? | Springfield | Chicago | Peoria | Rockford
E | What is the capital of Arizona? | Phoenix | Tucson | Mesa | Flagstaff
E | What is the capital of Colorado? | Denver | Boulder | Colorado Springs | Aspen
E | What is the capital of Massachusetts? | Boston | Worcester | Cambridge | Salem
E | What is the capital of Georgia? | Atlanta | Savannah | Augusta | Macon
E | What is the capital of Hawaii? | Honolulu | Hilo | Kailua | Maui
M | What is the capital of Pennsylvania? | Harrisburg | Philadelphia | Pittsburgh | Erie
M | What is the capital of Washington State? | Olympia | Seattle | Spokane | Tacoma
M | What is the capital of Oregon? | Salem | Portland | Eugene | Bend
M | What is the capital of Nevada? | Carson City | Las Vegas | Reno | Henderson
M | What is the capital of Missouri? | Jefferson City | St. Louis | Kansas City | Springfield
M | What is the capital of Michigan? | Lansing | Detroit | Grand Rapids | Ann Arbor
M | What is the capital of Ohio? | Columbus | Cleveland | Cincinnati | Toledo
M | What is the capital of Tennessee? | Nashville | Memphis | Knoxville | Chattanooga
M | What is the capital of Louisiana? | Baton Rouge | New Orleans | Shreveport | Lafayette
M | What is the capital of Minnesota? | Saint Paul | Minneapolis | Duluth | Rochester
M | What is the capital of Maryland? | Annapolis | Baltimore | Rockville | Frederick
M | What is the capital of Virginia? | Richmond | Norfolk | Arlington | Charlottesville
M | What is the capital of Alaska? | Juneau | Anchorage | Fairbanks | Nome
M | What is the capital of New Mexico? | Santa Fe | Albuquerque | Las Cruces | Roswell
M | What is the capital of Utah? | Salt Lake City | Provo | Ogden | Moab
M | What is the capital of Wisconsin? | Madison | Milwaukee | Green Bay | Racine
M | What is the capital of Indiana? | Indianapolis | Fort Wayne | Gary | Bloomington
M | What is the capital of Oklahoma? | Oklahoma City | Tulsa | Norman | Lawton
H | What is the capital of Kentucky? | Frankfort | Louisville | Lexington | Bowling Green
H | What is the capital of Alabama? | Montgomery | Birmingham | Mobile | Huntsville
H | What is the capital of South Carolina? | Columbia | Charleston | Greenville | Myrtle Beach
H | What is the capital of North Carolina? | Raleigh | Charlotte | Greensboro | Durham
H | What is the capital of Connecticut? | Hartford | New Haven | Bridgeport | Stamford
H | What is the capital of New Jersey? | Trenton | Newark | Jersey City | Atlantic City
H | What is the capital of Delaware? | Dover | Wilmington | Newark | Rehoboth Beach
H | What is the capital of Maine? | Augusta | Portland | Bangor | Lewiston
H | What is the capital of Vermont? | Montpelier | Burlington | Rutland | Stowe
H | What is the capital of New Hampshire? | Concord | Manchester | Nashua | Portsmouth
H | What is the capital of Rhode Island? | Providence | Newport | Warwick | Pawtucket
H | What is the capital of Kansas? | Topeka | Wichita | Overland Park | Lawrence
