# Geography — Grade 6 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Sixth grade: the tools of geography, then the physical world, then the
# regions the ancient history course walks through — Africa, Southwest
# Asia, South and Central Asia, East and Southeast Asia.

! id      | geography-6
! name    | Geography — Grade 6
! detail  | Map skills, landforms and climate, then Africa and Asia region by region.
! icon    | map
! tint    | 0.30 0.62 0.68
! rank    | 8
# Le « b » n'est pas une coquille. L'identifiant sans suffixe a été créé dans
# App Store Connect puis supprimé, et Apple ne libère jamais un identifiant de
# produit : il est perdu pour toujours, y compris pour cette app. Celui-ci le
# remplace. Ne pas « corriger » l'irrégularité — elle est la cicatrice, pas
# l'erreur.
! product | com.oulhen.riskelo.us.pack.geography6b


# --- Maps and the Earth ---

E | Which line of latitude circles the Earth at zero degrees? | The equator | The prime meridian | The tropic of Cancer | The Arctic Circle
E | Which line of longitude is numbered zero degrees? | The prime meridian | The equator | The international date line | The tropic of Capricorn
E | Which instrument points toward magnetic north? | A compass | A sextant | An altimeter | A barometer
E | Which part of a map explains what its symbols mean? | The legend | The scale | The grid | The inset
E | Which part of a map tells you how paper distance matches the ground? | The scale | The legend | The compass rose | The title
E | Which imaginary lines run east and west around the globe? | Lines of latitude | Lines of longitude | Meridians | Great circles
E | Which imaginary lines run from pole to pole? | Lines of longitude | Lines of latitude | Parallels | Contour lines
E | Which map feature shows you which way is north? | The compass rose | The scale bar | The legend | The graticule
E | Which kind of map shows elevation and landforms? | A physical map | A political map | A road map | A climate map
E | Which kind of map shows countries and their borders? | A political map | A physical map | A topographic map | A thematic map
M | Which map lines connect points of equal elevation? | Contour lines | Isobars | Isotherms | Rhumb lines
M | Which projection stretches the polar regions badly out of size? | Mercator | Robinson | Mollweide | Gnomonic
M | Which measurement tells you how far north or south a place lies? | Its latitude | Its longitude | Its altitude | Its azimuth
M | Which line marks the northern edge of the tropics? | The tropic of Cancer | The tropic of Capricorn | The Arctic Circle | The equator
M | Which line marks the southern edge of the tropics? | The tropic of Capricorn | The tropic of Cancer | The Antarctic Circle | The equator
M | Roughly how many time zones does the world use? | About 24 | About 12 | About 40 | About 60
M | Which line in the Pacific marks where the date changes? | The international date line | The prime meridian | The equator | The Greenwich line
H | Which English observatory gives its name to the prime meridian? | Greenwich | Cambridge | Edinburgh | Oxford
H | Which latitude marks the Arctic Circle? | About 66 degrees north | About 60 degrees north | About 45 degrees north | About 80 degrees north
H | Which term names the exact spot where two coordinates meet? | Absolute location | Relative location | Site | Situation
H | Which term describes where a place sits in relation to other places? | Relative location | Absolute location | Region | Scale
H | Which five themes organize the study of geography? | Location, place, region, movement, interaction | Land, sea, air, life, people | Map, globe, chart, atlas, key | Physical, human, urban, rural, wild
H | Which model of the Earth is truest in both shape and size? | A globe | A Mercator map | A Robinson map | A topographic map
H | Which technology fixes a position on Earth using satellites? | GPS | Radar | Sonar | Lidar
H | Which computer system stores and layers map data? | GIS | GPS | CAD | SQL
H | Which images of the Earth are taken from satellites or aircraft? | Remote sensing images | Contour surveys | Plane tables | Cadastral plats
H | Which word names the shape of the land in an area? | Topography | Hydrography | Cartography | Demography
H | Which word names the making of maps? | Cartography | Geodesy | Topology | Chorography
H | Which map projection keeps areas true but distorts shape? | An equal-area projection | A conformal projection | A gnomonic projection | An azimuthal projection
H | Which measurement of a place is given in degrees, minutes and seconds? | Its coordinates | Its bearing | Its elevation | Its declination

# --- Continents and oceans ---

E | How many continents does the standard list name? | Seven | Five | Six | Eight
E | Which is the largest continent by area? | Asia | Africa | North America | Europe
E | Which is the largest ocean on Earth? | The Pacific | The Atlantic | The Indian | The Arctic
E | Which continent is home only to visiting researchers? | Antarctica | Australia | South America | Europe
E | Which ocean lies between Africa and Australia? | The Indian Ocean | The Pacific Ocean | The Atlantic Ocean | The Southern Ocean
E | Which is the second largest continent by area? | Africa | North America | South America | Antarctica
E | Which is the smallest continent by area? | Australia | Europe | Antarctica | South America
E | Which two continents share a single landmass? | Europe and Asia | Africa and Asia | North and South America | Australia and Asia
E | Which ocean surrounds Antarctica? | The Southern Ocean | The Arctic Ocean | The Indian Ocean | The Pacific Ocean
E | Which continent lies farthest south? | Antarctica | Australia | South America | Africa
M | Which ocean is the smallest and shallowest? | The Arctic | The Indian | The Southern | The Atlantic
M | Which mountains are usually taken to divide Europe from Asia? | The Urals | The Alps | The Caucasus | The Carpathians
M | Which narrow strip of land joins North and South America? | The Isthmus of Panama | The Isthmus of Suez | The Isthmus of Kra | The Isthmus of Corinth
M | Which canal separates Africa from Asia? | The Suez Canal | The Panama Canal | The Kiel Canal | The Grand Canal
M | Which continent is crossed by the equator and both tropics? | Africa | Asia | South America | Australia
H | Which supercontinent held all the land 250 million years ago? | Pangaea | Gondwana | Laurasia | Rodinia
H | Which southern supercontinent broke into Africa, South America and India? | Gondwana | Laurasia | Pangaea | Baltica
H | Which theory explains how continents move over time? | Plate tectonics | Isostasy | Uniformitarianism | Orogeny
H | Which continent holds the most countries? | Africa | Asia | Europe | South America
H | Which strait separates Asia from North America? | The Bering Strait | The Strait of Malacca | The Davis Strait | The Denmark Strait

# --- Landforms and water ---

E | Which landform is a large area of high, flat ground? | A plateau | A valley | A delta | A basin
E | Which landform is land almost surrounded by water? | A peninsula | An island | An isthmus | A cape
E | Which body of water is completely surrounded by land? | A lake | A bay | A gulf | A strait
E | Which word names a river mouth that fans into many channels? | A delta | An estuary | A fjord | A sound
E | Which narrow channel joins two larger bodies of water? | A strait | A bay | A sound | A lagoon
E | Which smaller river flows into a larger one? | A tributary | A distributary | An estuary | A canal
E | Which sudden shaking comes from movement along a fault? | An earthquake | A landslide | A tsunami | A sinkhole
E | Which opening lets molten rock reach the surface? | A volcano | A geyser | A fumarole | A sinkhole
M | Which landform is a ring of coral around a lagoon? | An atoll | A reef | A cay | A shoal
M | Which deep coastal inlet was carved by a glacier? | A fjord | A ria | A bight | A cove
M | Which word names all the land drained by a river and its branches? | A watershed | A floodplain | A delta | An aquifer
M | Which flat land beside a river floods after heavy rain? | The floodplain | The watershed | The levee | The terrace
M | Which underground layer of rock holds water? | An aquifer | A moraine | A caldera | A batholith
M | Which landform is a steep drop where a river plunges? | A waterfall | A rapid | A cataract shelf | A gorge
M | Which word names a long narrow valley cut deep by a river? | A canyon | A basin | A col | A cirque
M | Which mountains form where two plates push into each other? | Fold mountains | Volcanic cones | Fault blocks | Dome mountains
H | Which ring of volcanoes and quakes circles the Pacific? | The Ring of Fire | The Alpine belt | The Mid-Atlantic Ridge | The Pacific Rise
H | Which scale reports the energy released by an earthquake? | The moment magnitude scale | The Mercalli scale | The Beaufort scale | The Saffir-Simpson scale
H | Which wave is raised by an undersea earthquake? | A tsunami | A tidal bore | A seiche | A rogue wave
H | Which process wears rock away and carries the pieces off? | Erosion | Weathering | Deposition | Subduction
H | Which process breaks rock down in place without moving it? | Weathering | Erosion | Deposition | Abrasion
H | Which slow-moving river of ice carves U-shaped valleys? | A glacier | A snowfield | An ice floe | A firn field
H | Which ridge runs down the middle of the Atlantic seafloor? | The Mid-Atlantic Ridge | The East Pacific Rise | The Ninety East Ridge | The Walvis Ridge
H | Which flat expanses cover most of the deep ocean floor? | Abyssal plains | Continental shelves | Guyots | Seamount chains

# --- Climate and biomes ---

E | Which climate zone lies between the tropics and stays hot all year? | The tropical zone | The polar zone | The temperate zone | The arid zone
E | Which biome is hot, dry and gets very little rain? | Desert | Tundra | Taiga | Savanna
E | Which biome is a cold treeless plain near the Arctic? | Tundra | Savanna | Steppe | Chaparral
E | Which biome is a warm grassland dotted with scattered trees? | Savanna | Tundra | Taiga | Prairie
E | Which seasonal wind brings heavy summer rain to South Asia? | The monsoon | The chinook | The sirocco | The harmattan
E | Which instrument measures air pressure? | A barometer | A thermometer | A hygrometer | An anemometer
M | Which forest of cone-bearing trees rings the northern hemisphere? | The taiga | The rainforest | The chaparral | The mangrove
M | Which climate has warm dry summers and mild wet winters? | Mediterranean | Continental | Monsoon | Maritime
M | Which factor makes the air cooler as you climb a mountain? | Altitude | Latitude | Longitude | Humidity
M | Which side of a mountain range gets the driest air? | The leeward side | The windward side | The northern side | The southern side
M | Which dry area behind a mountain range is starved of rain? | A rain shadow | A dust bowl | A dry belt | A salt flat
M | Which ocean current warms the coast of western Europe? | The Gulf Stream | The Canary Current | The Labrador Current | The Benguela Current
M | Which line sits at the upper limit of tree growth on a mountain? | The tree line | The snow line | The frost line | The timber edge
M | Which storm is called a typhoon in the western Pacific? | A tropical cyclone | A tornado | A blizzard | A derecho
H | Which climate classification uses codes such as Af and BWh? | The Koppen system | The Thornthwaite system | The Trewartha grid | The Holdridge scheme
H | Which Pacific warming pattern shifts weather worldwide every few years? | El Nino | The polar vortex | The Madden cycle | The monsoon trough
H | Which cold current runs north along the coast of Peru? | The Humboldt Current | The Kuroshio | The Agulhas | The Brazil Current
H | Which process turns fertile drylands into desert? | Desertification | Salinization | Eutrophication | Deforestation
H | Which African wind carries Sahara dust out toward the Atlantic? | The harmattan | The sirocco | The mistral | The bora
H | Which word names the average weather of a place over decades? | Climate | Weather | Season | Front
H | Which greenhouse gas is released most by burning fossil fuels? | Carbon dioxide | Methane | Ozone | Nitrous oxide
H | Which belt of calm equatorial air did sailors call the doldrums? | The intertropical convergence zone | The horse latitudes | The trade wind belt | The subtropical ridge

# --- Africa ---

E | Which desert covers much of northern Africa? | The Sahara | The Kalahari | The Namib | The Gobi
E | Which river flows north through Egypt to the Mediterranean? | The Nile | The Congo | The Niger | The Zambezi
