# History — Grade 8 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# The eighth-grade United States history course: Native nations and
# colonization, the road to revolution, the Constitution, the early
# republic, expansion, the Civil War and Reconstruction.
#
# Two hundred questions, and no prompt duplicates one in any other file —
# including the free History deck, which covers much of the same ground
# more lightly.

! id      | history-8
! name    | History — Grade 8
! detail  | United States history from the colonies to Reconstruction.
! icon    | flag
! tint    | 0.70 0.35 0.30
! rank    | 15
! product | com.oulhen.riskelo.us.pack.history8


# --- Before and at contact ---

E | Which people lived in North America before Europeans arrived? | Native Americans | Vikings only | Spanish settlers | Polynesians
M | Which Native confederacy of the Northeast joined five nations under one council? | The Iroquois Confederacy | The Powhatan Confederacy | The Creek Confederacy | The Wabanaki Confederacy
M | Which Southwest peoples built cliff dwellings at Mesa Verde? | The Ancestral Puebloans | The Apache | The Comanche | The Navajo
M | Which Mississippi valley city was the largest north of Mexico before 1492? | Cahokia | Moundville | Poverty Point | Etowah
M | Which crop trio anchored many Native farming systems? | Corn, beans and squash | Wheat, rye and oats | Rice, millet and yams | Potatoes, peas and barley
M | Which Native people of the Plains followed the buffalo herds? | The Lakota | The Cherokee | The Iroquois | The Pueblo
H | Which land bridge is thought to have carried the first Americans? | Beringia | The Isthmus of Panama | The Aleutian causeway | The Greenland shelf
H | Which Native structure of earth marks sites across the Ohio valley? | Burial mounds | Stone circles | Adobe towers | Longhouse forts
H | Which Native building of the Northeast housed several families? | The longhouse | The tipi | The hogan | The wigwam only
H | Which Native leader's daughter is linked in legend with the Jamestown colony? | Powhatan | Massasoit | Squanto | Metacom

# --- Colonizing North America ---

E | Which was the first permanent English colony in North America? | Jamestown | Plymouth | Roanoke | Boston
E | In which year did the Pilgrims land at Plymouth? | 1620 | 1607 | 1630 | 1492
