# Geography — Grade 9 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Ninth grade turns from where things are to why they are there: people
# and how they move, cities, culture, development and trade, farming,
# resources and the environment, borders and globalization.

! id      | geography-9
! name    | Geography — Grade 9
! detail  | Human geography: population, cities, development, resources and trade.
! icon    | person.3
! tint    | 0.52 0.60 0.30
! rank    | 20
! product | com.oulhen.riskelo.us.pack.geography9


# --- Population ---

E | Roughly how many people live on Earth today? | About 8 billion | About 5 billion | About 12 billion | About 3 billion
E | Which country has the largest population? | India | China | The United States | Indonesia
E | Which term names the number of people in a given area? | Population density | Population growth | Carrying capacity | Fertility rate
E | Which term names births per thousand people each year? | The birth rate | The fertility rate | The growth rate | The natural increase
E | Which term names deaths per thousand people each year? | The death rate | The mortality ratio | The attrition rate | The decline rate
E | Which region has the fastest population growth today? | Sub-Saharan Africa | Western Europe | East Asia | North America
E | Which country's one-child policy reshaped its age structure? | China | India | Japan | Vietnam
M | Which figure results from subtracting deaths from births? | The natural increase | The net migration | The dependency ratio | The doubling time
M | Which measure counts the average number of children per woman? | The total fertility rate | The crude birth rate | The replacement index | The natality quotient
M | Which fertility rate roughly keeps a population steady? | About 2.1 | About 1.0 | About 3.5 | About 4.0
M | Which graph shows a country's population by age and sex? | A population pyramid | A choropleth map | A scatter plot | A Lorenz curve
M | Which shape of population pyramid shows rapid growth? | A wide base tapering fast | A narrow base | A rectangle | An inverted triangle
M | Which continent's population is shrinking in many countries? | Europe | Africa | South America | Oceania
M | Which term names people too young or too old to work? | The dependent population | The labor force | The active cohort | The reserve army
M | Which measure divides dependents by working-age adults? | The dependency ratio | The sex ratio | The literacy rate | The Gini index
M | Which measure counts deaths of babies before their first birthday? | The infant mortality rate | The child fertility rate | The crude death rate | The neonatal ratio
M | Which measure estimates how long a newborn can expect to live? | Life expectancy | The survival index | The mortality gap | The age median
H | Which model describes a shift from high to low birth and death rates? | The demographic transition model | The gravity model | The Malthus model | The Rostow model
H | Which stage of that model has high births and falling deaths? | Stage two | Stage one | Stage four | Stage five
H | Which thinker warned that population would outrun the food supply? | Malthus | Ricardo | Boserup | Rostow
H | Which thinker argued that population pressure spurs farming innovation? | Boserup | Malthus | Ricardo | Smith
H | Which term names the largest population an environment can support? | Carrying capacity | Overshoot | Density ceiling | Saturation point
H | Which country has the oldest median age in the world? | Japan | Nigeria | Brazil | Egypt
H | Which term names the share of a population living in towns and cities? | The urbanization rate | The density ratio | The settlement index | The nucleation rate
H | Which measure compares the number of men to women? | The sex ratio | The dependency ratio | The vital ratio | The cohort index
H | Which term names the years a population takes to double? | Doubling time | Growth window | Replacement span | Turnover period
H | Which continent holds about sixty percent of humanity? | Asia | Africa | Europe | The Americas
H | Which term names a sharp drop in births after a boom? | A baby bust | A demographic dividend | A population trough | A cohort gap
H | Which advantage comes when a country's working-age share peaks? | The demographic dividend | The Malthusian check | The dependency trap | The urban premium
H | Which map shades areas by value with darker and lighter color? | A choropleth map | An isoline map | A cartogram | A dot map

# --- Migration ---

E | Which word names people leaving their home country? | Emigrants | Immigrants | Refugees | Nomads
E | Which word names people arriving to settle in a new country? | Immigrants | Emigrants | Expatriates | Transients
E | Which forces drive people away from a place? | Push factors | Pull factors | Intervening obstacles | Chain effects
E | Which forces draw people toward a place? | Pull factors | Push factors | Counterflows | Step barriers
E | Which term names people fleeing war or persecution? | Refugees | Migrant workers | Expatriates | Commuters
E | Which money do migrants send home to their families? | Remittances | Subsidies | Foreign aid | Royalties
E | Which loss does a country suffer when its skilled workers leave? | Brain drain | Brain gain | Labor slack | Capital flight
E | Which forced migration carried Africans across the Atlantic? | The Atlantic slave trade | The Great Migration | The Columbian Exchange | The indentured trade
M | Which term names people displaced but still inside their own country? | Internally displaced people | Refugees | Asylum seekers | Returnees
M | Which term names someone asking another country for protection? | An asylum seeker | A guest worker | A sojourner | A repatriate
M | Which movement happens when migrants follow relatives already abroad? | Chain migration | Step migration | Circular migration | Return migration
M | Which movement takes migrants toward a city in several stages? | Step migration | Chain migration | Forced migration | Transhumance
M | Which movement takes workers back and forth with the seasons? | Circular migration | Chain migration | Forced migration | Counterurbanization
M | Which people move with their herds between seasonal pastures? | Pastoral nomads | Sedentary farmers | Sharecroppers | Market gardeners
H | Which principle says migration falls as distance grows? | Distance decay | The gravity law | The rank-size rule | The law of retail gravitation
H | Which model predicts flows from the size of and distance between places? | The gravity model | The demographic transition model | The Von Thunen model | The concentric zone model
H | Which nineteenth-century laws of migration are named for their author? | Ravenstein's laws | Zelinsky's laws | Lee's laws | Christaller's laws
H | Which barrier between origin and destination did Lee call an obstacle? | An intervening obstacle | A push factor | A pull factor | A counterflow
H | Which rule limits how many migrants a country will admit? | An immigration quota | A tariff | An embargo | A visa waiver
H | Which country hosts the most international migrants? | The United States | Germany | Russia | Canada
H | Which war after 2011 sent millions of Syrians abroad? | The Syrian civil war | The Tunisian uprising | The Iraq invasion | The Yemen blockade
H | Which sea has become the deadliest crossing for migrants to Europe? | The Mediterranean | The Baltic | The Black Sea | The North Sea

# --- Cities ---

E | Which word names the growth of cities and their populations? | Urbanization | Suburbanization | Gentrification | Agglomeration
E | Which term names the business heart of a city? | The central business district | The greenbelt | The periphery | The exurb
E | Which term names a city of more than ten million people? | A megacity | A metropolis | A conurbation | A primate city
E | Which term names the outward spread of low-density housing? | Urban sprawl | Infill | Densification | Nucleation
E | Which term names wealthier residents moving into a poorer neighborhood? | Gentrification | Filtering | Redlining | Blockbusting
E | Which effect makes cities warmer than the countryside around them? | The urban heat island | The rain shadow | The canyon effect | The albedo drop
M | Which term names a city far larger than any other in its country? | A primate city | A megacity | A world city | A gateway city
M | Which rule says the second city is half the size of the largest? | The rank-size rule | The gravity rule | The law of primacy | The threshold rule
