# Arts & Literature — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Books, painting, sculpture, concert music, the stage and the old myths.
# Movies, television and popular song live in Screen & Music, and nothing
# here trespasses on them.
#
# One trap peculiar to this theme: a title carrying a question mark would
# give the line two, and a prompt carries exactly one. Such titles are
# simply not asked about.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | arts
! name    | Arts & Literature
! icon    | book
! tint    | 0.62 0.45 0.34
! rank    | 3


# --- American novels ---

E | Who wrote The Adventures of Huckleberry Finn? | Mark Twain | Herman Melville | Jack London | Bret Harte
E | Who wrote The Great Gatsby? | F. Scott Fitzgerald | Ernest Hemingway | John Steinbeck | William Faulkner
E | Who wrote To Kill a Mockingbird? | Harper Lee | Flannery O'Connor | Carson McCullers | Eudora Welty
E | Which novel opens with the line Call me Ishmael? | Moby-Dick | The Old Man and the Sea | Treasure Island | Billy Budd
E | Who wrote Little Women? | Louisa May Alcott | Harriet Beecher Stowe | Edith Wharton | Kate Chopin
E | Which author created Tom Sawyer? | Mark Twain | Washington Irving | James Fenimore Cooper | O. Henry
M | Who wrote The Grapes of Wrath? | John Steinbeck | Ernest Hemingway | Sinclair Lewis | Theodore Dreiser
M | Who wrote Of Mice and Men? | John Steinbeck | William Faulkner | Sherwood Anderson | Erskine Caldwell
M | Who wrote The Old Man and the Sea? | Ernest Hemingway | John Steinbeck | Jack London | Zane Grey
M | Who wrote The Catcher in the Rye? | J. D. Salinger | Jack Kerouac | John Updike | Philip Roth
M | Who wrote The Scarlet Letter? | Nathaniel Hawthorne | Herman Melville | Washington Irving | Henry James
M | Who wrote The Call of the Wild? | Jack London | Mark Twain | Owen Wister | Rudyard Kipling
M | Who wrote Uncle Tom's Cabin? | Harriet Beecher Stowe | Louisa May Alcott | Frances Harper | Lydia Child
M | Who wrote Fahrenheit 451? | Ray Bradbury | Isaac Asimov | Kurt Vonnegut | Philip K. Dick
M | Who wrote Slaughterhouse-Five? | Kurt Vonnegut | Joseph Heller | Norman Mailer | Ken Kesey
M | Who wrote The Color Purple? | Alice Walker | Toni Morrison | Maya Angelou | Zora Neale Hurston
M | Which lawyer defends Tom Robinson in To Kill a Mockingbird? | Atticus Finch | Boo Radley | Jem Finch | Judge Taylor
H | Who wrote Beloved? | Toni Morrison | Alice Walker | Gloria Naylor | Octavia Butler
H | Who wrote The Sound and the Fury? | William Faulkner | Thomas Wolfe | Robert Penn Warren | Flannery O'Connor
