# English Language Arts — Grade 6 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Sixth grade: the parts of speech, sentences and punctuation, word
# roots, the habits of a careful reader, figurative language, the shape
# of a story, and the myths and fables every reader meets first.

! id      | english-6
! name    | English — Grade 6
! detail  | Grammar, punctuation, word roots, reading skills and the first myths.
! icon    | textformat.abc
! tint    | 0.55 0.45 0.75
! rank    | 9
! product | com.oulhen.riskelo.us.pack.english6


# --- Parts of speech ---

E | Which part of speech names a person, place or thing? | A noun | A verb | An adjective | An adverb
E | Which part of speech shows action or being? | A verb | A noun | An adjective | A conjunction
E | Which part of speech describes a noun? | An adjective | An adverb | A verb | A preposition
E | Which part of speech describes a verb? | An adverb | An adjective | A noun | A pronoun
E | Which part of speech takes the place of a noun? | A pronoun | An adjective | An adverb | An article
E | Which part of speech joins words or groups of words? | A conjunction | A preposition | An interjection | An article
E | Which part of speech shows a relationship of place or time? | A preposition | A conjunction | An interjection | An adverb
E | Which part of speech expresses sudden feeling? | An interjection | A conjunction | A preposition | A pronoun
E | Which three words are the articles in English? | A, an and the | Is, are and was | In, on and at | And, but and or
M | Which kind of noun names a particular person or place? | A proper noun | A common noun | A collective noun | An abstract noun
M | Which kind of noun names an idea you cannot touch? | An abstract noun | A concrete noun | A proper noun | A compound noun
M | Which kind of noun names a group acting as one? | A collective noun | A proper noun | An abstract noun | A plural noun
M | Which pronouns are I, you, he, she and they? | Personal pronouns | Possessive pronouns | Relative pronouns | Demonstrative pronouns
M | Which pronouns are mine, yours and theirs? | Possessive pronouns | Reflexive pronouns | Indefinite pronouns | Interrogative pronouns
M | Which pronouns end in self or selves? | Reflexive pronouns | Relative pronouns | Demonstrative pronouns | Personal pronouns
M | Which pronouns are this, that, these and those? | Demonstrative pronouns | Relative pronouns | Reflexive pronouns | Indefinite pronouns
M | Which verbs help the main verb, like has, will and can? | Helping verbs | Linking verbs | Action verbs | Irregular verbs
M | Which verbs join a subject to a word that describes it? | Linking verbs | Action verbs | Helping verbs | Transitive verbs
M | Which comparison form of an adjective compares two things? | The comparative | The superlative | The positive | The absolute
M | Which comparison form compares three or more things? | The superlative | The comparative | The positive | The relative
M | Which is the correct comparative of good? | Better | Gooder | More good | Best
M | Which is the correct superlative of bad? | Worst | Baddest | More bad | Worse
H | Which pronouns are who, whom, whose, which and that? | Relative pronouns | Interrogative pronouns | Reflexive pronouns | Personal pronouns
H | Which noun does a pronoun stand in for? | Its antecedent | Its complement | Its modifier | Its appositive
H | Which verb form ends in -ing and acts as a noun? | A gerund | A participle | An infinitive | A modal
H | Which verb form is to plus the base verb? | An infinitive | A gerund | A participle | A modal
H | Which verb takes a direct object? | A transitive verb | An intransitive verb | A linking verb | A modal verb
H | Which verb takes no direct object? | An intransitive verb | A transitive verb | A helping verb | A causative verb
H | Which verbs do not add -ed to form the past tense? | Irregular verbs | Regular verbs | Modal verbs | Phrasal verbs
H | Which is the past tense of lie meaning to recline? | Lay | Laid | Lied | Lain
H | Which is the past participle of go? | Gone | Went | Goed | Going
H | Which term names a verb plus a small word that changes its meaning? | A phrasal verb | A compound verb | A modal verb | A gerund
H | Which term names a word that renames the noun beside it? | An appositive | An antecedent | A predicate | A complement
H | Which term names the noun or pronoun that performs the verb? | The subject | The predicate | The object | The complement

# --- Sentences and punctuation ---

E | Which mark ends a statement? | A period | A question mark | An exclamation point | A comma
E | Which mark ends a question? | A question mark | A period | A semicolon | A colon
E | Which mark shows strong feeling at the end of a sentence? | An exclamation point | A period | A comma | A dash
E | Which mark shows possession or a missing letter? | An apostrophe | A comma | A hyphen | A colon
E | Which marks surround someone's exact words? | Quotation marks | Parentheses | Brackets | Braces
M | Which sentence makes a statement? | A declarative sentence | An interrogative sentence | An imperative sentence | An exclamatory sentence
M | Which sentence asks something? | An interrogative sentence | A declarative sentence | An imperative sentence | An exclamatory sentence
M | Which sentence gives a command? | An imperative sentence | A declarative sentence | An interrogative sentence | An exclamatory sentence
M | Which sentence has one independent clause and nothing else? | A simple sentence | A compound sentence | A complex sentence | A fragment
M | Which sentence joins two independent clauses? | A compound sentence | A simple sentence | A complex sentence | A run-on
M | Which sentence joins an independent and a dependent clause? | A complex sentence | A compound sentence | A simple sentence | A fragment
M | Which error runs two sentences together with no punctuation? | A run-on | A fragment | A dangling modifier | A split infinitive
M | Which error leaves a group of words without a subject or verb? | A fragment | A run-on | A comma splice | An agreement error
M | Which mark joins two closely related independent clauses? | A semicolon | A colon | A comma | A hyphen
