# Screen & Music — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Movies, television and popular song. Books, painting and concert music
# live in Arts & Literature, and nothing here trespasses on them.
#
# Two traps peculiar to this theme. A title carrying a question mark would
# give the line two, and a prompt carries exactly one — such titles are not
# asked about. And nothing here is a current chart, a running series or a
# living record: those go stale between the writing and the release.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | screen
! name    | Screen & Music
! icon    | music.note.tv
! tint    | 0.75 0.40 0.62
! rank    | 5


# --- The movies everyone has seen ---

E | In which film does a girl named Dorothy follow a yellow brick road? | The Wizard of Oz | Alice in Wonderland | Peter Pan | Mary Poppins
E | Which 1975 film made audiences afraid of the water? | Jaws | The Deep | Orca | Piranha
E | Which 1977 film opened with a crawl about a galaxy far, far away? | Star Wars | Star Trek | Battlestar Galactica | Dune
E | In which film does a boy help an alien phone home? | E.T. the Extra-Terrestrial | Close Encounters | Explorers | Flight of the Navigator
E | Which 1993 film brought dinosaurs back to an island theme park? | Jurassic Park | King Kong | The Lost World only | Land of the Lost
E | Which 1997 film featured a doomed ocean liner and a necklace? | Titanic | The Poseidon Adventure | A Night to Remember | Pearl Harbor
E | Which film series follows a boy wizard at Hogwarts? | Harry Potter | The Hobbit | Percy Jackson | Narnia
E | Which studio made Snow White and the Seven Dwarfs? | Disney | Warner Bros. | MGM | Paramount
M | Which 1939 film ends with a heroine vowing that tomorrow is another day? | Gone with the Wind | The Wizard of Oz | Rebecca | Jezebel
M | Which 1942 film is set in a Moroccan nightclub during the war? | Casablanca | To Have and Have Not | The Maltese Falcon | Algiers
M | Which 1972 film opens at a wedding and follows a crime family? | The Godfather | Goodfellas | Scarface | Once Upon a Time in America
M | Which 1941 film is built around a dying man's last word? | Citizen Kane | The Third Man | Sunset Boulevard | Rebecca
M | Which 1960 film features a motel and a shower scene? | Psycho | The Birds | Vertigo | Rear Window
M | Which 1952 musical has a man dancing through a downpour? | Singin' in the Rain | An American in Paris | The Band Wagon | Top Hat
M | Which 1994 film follows a man who runs across America and meets presidents? | Forrest Gump | Rain Man | Big | The Truman Show
M | Which 1980 film is the second Star Wars film released? | The Empire Strikes Back | Return of the Jedi | A New Hope | The Phantom Menace
M | Which 1985 film sends a teenager back to 1955 in a modified car? | Back to the Future | Peggy Sue Got Married | Time Bandits | Bill and Ted
M | Which 1994 film intercuts hit men, a boxer and a briefcase? | Pulp Fiction | Reservoir Dogs | Jackie Brown | Get Shorty
H | Which 1968 film features a computer named HAL? | 2001: A Space Odyssey | Solaris | Silent Running | Colossus
H | Which 1959 comedy ends with the line nobody's perfect? | Some Like It Hot | The Apartment | Sabrina | Roman Holiday
H | Which 1962 epic follows a British officer across the Arabian desert? | Lawrence of Arabia | The Bridge on the River Kwai | Khartoum | Zulu
H | Which 1946 film has an angel show a man a world without him? | It's a Wonderful Life | Miracle on 34th Street | The Bishop's Wife | Christmas in Connecticut
H | Which 1954 film has a boxer say he could have been a contender? | On the Waterfront | Raging Bull | Body and Soul | The Set-Up
H | Which 1976 film follows a Philadelphia boxer given a title shot? | Rocky | Raging Bull | The Champ | Somebody Up There Likes Me
H | Which 1939 film was among the first to move from black and white to color mid-story? | The Wizard of Oz | Gone with the Wind | Becky Sharp | A Star Is Born
H | Which 1927 film is generally called the first feature with synchronized speech? | The Jazz Singer | Don Juan | Lights of New York | The Singing Fool
H | Which 1915 or later silent comic was known as the Little Tramp? | Charlie Chaplin | Buster Keaton | Harold Lloyd | Fatty Arbuckle
H | Which silent comedian was known as the Great Stone Face? | Buster Keaton | Charlie Chaplin | Harold Lloyd | Harry Langdon

# --- Directors and the people behind the camera ---

E | Who directed Jaws, E.T. and Jurassic Park? | Steven Spielberg | George Lucas | James Cameron | Ron Howard
E | Who created the original Star Wars films? | George Lucas | Steven Spielberg | Ridley Scott | J. J. Abrams
M | Who directed Titanic and Avatar? | James Cameron | Steven Spielberg | Michael Bay | Ridley Scott
M | Which director was known as the Master of Suspense? | Alfred Hitchcock | Orson Welles | Fritz Lang | Billy Wilder
M | Who directed The Godfather? | Francis Ford Coppola | Martin Scorsese | Brian De Palma | Sidney Lumet
M | Who directed Goodfellas and Taxi Driver? | Martin Scorsese | Francis Ford Coppola | Robert Altman | William Friedkin
M | Who directed Pulp Fiction? | Quentin Tarantino | Robert Rodriguez | Guy Ritchie | Paul Thomas Anderson
M | Who directed Do the Right Thing and Malcolm X? | Spike Lee | John Singleton | Charles Burnett | Gordon Parks
M | Who directed 2001: A Space Odyssey and The Shining? | Stanley Kubrick | Ridley Scott | Roman Polanski | Nicolas Roeg
H | Which director made Alien and Blade Runner? | Ridley Scott | James Cameron | John Carpenter | David Lynch
H | Which Japanese director made Seven Samurai and Rashomon? | Akira Kurosawa | Yasujiro Ozu | Kenji Mizoguchi | Hayao Miyazaki
H | Which Japanese director founded a famous animation studio and made Spirited Away? | Hayao Miyazaki | Isao Takahata | Mamoru Oshii | Satoshi Kon
H | Which Swedish director made The Seventh Seal? | Ingmar Bergman | Victor Sjostrom | Bo Widerberg | Lasse Hallstrom
H | Which Italian director made La Dolce Vita? | Federico Fellini | Vittorio De Sica | Luchino Visconti | Michelangelo Antonioni
H | Which woman became the first to win the Academy Award for directing? | Kathryn Bigelow | Sofia Coppola | Jane Campion | Barbra Streisand
H | Which director made Citizen Kane at twenty-five? | Orson Welles | John Huston | Elia Kazan | Preston Sturges
H | Which director is known for westerns starring John Wayne, including The Searchers? | John Ford | Howard Hawks | Sergio Leone | Anthony Mann
H | Which Italian director made a trilogy of westerns with Clint Eastwood? | Sergio Leone | Sergio Corbucci | Damiano Damiani | Duccio Tessari

# --- Awards ---

E | What are the Academy Awards better known as? | The Oscars | The Emmys | The Grammys | The Globes
E | Which awards honor American television? | The Emmys | The Oscars | The Grammys | The Tonys
E | Which awards honor recorded music? | The Grammys | The Emmys | The Oscars | The Obies
M | Which category is the top prize at the Academy Awards? | Best Picture | Best Director | Best Actor | Best Original Screenplay
M | Which awards are voted on by foreign press covering Hollywood? | The Golden Globes | The Screen Actors Guild Awards | The Critics Choice Awards | The Independent Spirit Awards
M | What does the acronym EGOT stand for? | Emmy, Grammy, Oscar, Tony | Emmy, Globe, Oscar, Tony | Emmy, Grammy, Obie, Tony | Emmy, Grammy, Oscar, Theatre
M | Which film festival awards the Palme d'Or? | Cannes | Venice | Berlin | Sundance
M | Which American film festival is held each winter in Utah? | Sundance | Telluride | Tribeca | South by Southwest
H | Which festival awards the Golden Lion? | Venice | Cannes | Berlin | Locarno
H | Which festival awards the Golden Bear? | Berlin | Venice | Cannes | Karlovy Vary
H | Which awards honor American theater and share the EGOT? | The Tonys | The Obies | The Drama Desk Awards | The Outer Critics Awards
H | In which decade were the Academy Awards first presented? | The 1920s | The 1930s | The 1910s | The 1940s

# --- Television ---

E | Which sitcom starred Lucille Ball as a redhead with big schemes? | I Love Lucy | The Honeymooners | Bewitched | The Dick Van Dyke Show
E | Which animated family lives in Springfield with a father named Homer? | The Simpsons | Family Guy | King of the Hill | Bob's Burgers
E | Which children's show features Big Bird and Oscar the Grouch? | Sesame Street | Mister Rogers | The Muppet Show | Barney
E | Which show follows a starship crew under Captain Kirk? | Star Trek | Lost in Space | Battlestar Galactica | Babylon 5
E | Which late-night sketch show has aired live from New York since 1975? | Saturday Night Live | SCTV | In Living Color | MADtv
M | Which sitcom followed four friends and was set in a New York apartment building? | Seinfeld | Friends | Will and Grace | Mad About You
M | Which sitcom was set in a Boston bar where everybody knows your name? | Cheers | Frasier | Taxi | Night Court
