# History — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# American history first, world history after. Nothing here depends on who
# holds office today: a question whose answer changes with an election has
# no business in a deck that ships in an app.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | history
! name    | History
! icon    | building.columns
! tint    | 0.85 0.66 0.22
! rank    | 1


# --- The founding ---

E | In which year was the Declaration of Independence adopted? | 1776 | 1781 | 1789 | 1765
E | Who wrote the first draft of the Declaration of Independence? | Thomas Jefferson | John Adams | Benjamin Franklin | George Washington
E | Who was the first President of the United States? | George Washington | John Adams | Thomas Jefferson | Benjamin Franklin
E | Which colonial protest dumped tea into a harbor in 1773? | The Boston Tea Party | Shays' Rebellion | The Whiskey Rebellion | The Stamp Act Congress
E | How many original colonies became the first states? | Thirteen | Twelve | Fifteen | Ten
M | In which year was the Constitution signed in Philadelphia? | 1787 | 1776 | 1791 | 1783
M | What are the first ten amendments to the Constitution called? | The Bill of Rights | The Articles | The Federalist Papers | The Preamble
M | Where were the first shots of the Revolutionary War fired? | Lexington and Concord | Bunker Hill | Saratoga | Trenton
M | Which battle is considered the turning point of the Revolution? | Saratoga | Bunker Hill | Trenton | Camden
M | Where did Cornwallis surrender in 1781? | Yorktown | Saratoga | Charleston | Princeton
M | Which document governed the United States before the Constitution? | The Articles of Confederation | The Bill of Rights | The Mayflower Compact | The Northwest Ordinance
M | Who was the second President of the United States? | John Adams | Thomas Jefferson | James Madison | John Jay
M | Which treaty ended the Revolutionary War in 1783? | The Treaty of Paris | The Treaty of Ghent | The Treaty of Versailles | The Treaty of Utrecht
M | Which winter camp nearly broke the Continental Army in 1777? | Valley Forge | Morristown | West Point | Fort Ticonderoga
H | Who is called the Father of the Constitution? | James Madison | Thomas Jefferson | Alexander Hamilton | George Washington
H | Which essays argued for ratifying the Constitution? | The Federalist Papers | Common Sense | The Rights of Man | Poor Richard's Almanack
H | Who wrote the pamphlet Common Sense in 1776? | Thomas Paine | Patrick Henry | Samuel Adams | John Hancock
H | Whose signature on the Declaration is the largest? | John Hancock | John Adams | Benjamin Franklin | Samuel Adams
H | Which 1765 act taxed printed materials in the colonies? | The Stamp Act | The Sugar Act | The Tea Act | The Quartering Act
H | Who was the first Chief Justice of the Supreme Court? | John Jay | John Marshall | Roger Taney | Oliver Ellsworth
H | Which 1620 agreement set up self-government at Plymouth? | The Mayflower Compact | The Virginia Charter | The Fundamental Orders | The Albany Plan
H | Which was the first permanent English settlement in America? | Jamestown | Plymouth | Roanoke | Boston
H | Who was the first Secretary of the Treasury? | Alexander Hamilton | Thomas Jefferson | James Madison | John Jay
H | Which 1794 uprising did Washington put down over a tax on liquor? | The Whiskey Rebellion | Shays' Rebellion | Bacon's Rebellion | The Dorr Rebellion

