# English Language Arts — Grade 8 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Eighth grade reads American: the Puritans and the founders, the
# Transcendentalists, Poe and Melville, Twain and the realists, Harlem
# and the moderns, the great novels, the plays and the speeches.

! id      | english-8
! name    | English — Grade 8
! detail  | American literature from the Puritans to Toni Morrison.
! icon    | quote.bubble
! tint    | 0.42 0.64 0.72
! rank    | 17
! product | com.oulhen.riskelo.us.pack.english8


# --- The founders and the first American voices ---

E | Which 1776 pamphlet by Thomas Paine urged independence? | Common Sense | The Federalist | Poor Richard's Almanack | The American Crisis
E | Which almanac full of proverbs did Benjamin Franklin publish? | Poor Richard's Almanack | The Farmer's Almanac | The Pennsylvania Gazette | The Silence Dogood letters
M | Which Paine essay opened with the times that try men's souls? | The American Crisis | Common Sense | Rights of Man | The Age of Reason
M | Which Franklin work tells the story of his own life? | The Autobiography | Poor Richard's Almanack | The Way to Wealth | Letters to a Friend
M | Which colonial poet wrote verses on the burning of her house? | Anne Bradstreet | Phillis Wheatley | Edward Taylor | Mary Rowlandson
M | Which enslaved poet published a book of verse in 1773? | Phillis Wheatley | Anne Bradstreet | Jupiter Hammon | Lucy Terry
M | Which preacher delivered Sinners in the Hands of an Angry God? | Jonathan Edwards | Cotton Mather | Increase Mather | Roger Williams
M | Which governor wrote Of Plymouth Plantation? | William Bradford | John Winthrop | John Smith | Miles Standish
M | Which Puritan leader called the colony a city upon a hill? | John Winthrop | William Bradford | Cotton Mather | Jonathan Edwards
H | Which captivity narrative tells of a Puritan woman held by Native captors? | Mary Rowlandson's narrative | Anne Hutchinson's trial | Cotton Mather's Wonders | Bradford's history
H | Which Frenchman's letters asked what an American is? | Crevecoeur | Tocqueville | Lafayette | Chateaubriand
H | Which Frenchman's 1835 book studied democracy in America? | Tocqueville | Crevecoeur | Montesquieu | Guizot
