# English Language Arts — Grade 9 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Ninth grade goes abroad: Shakespeare, the Greeks and Romans, the epics
# and the Middle Ages, the British novel, world literature in
# translation, the sharper literary terms, and the freshman shelf.

! id      | english-9
! name    | English — Grade 9
! detail  | Shakespeare, the classics, the British novel and world literature.
! icon    | theatermasks
! tint    | 0.64 0.56 0.34
! rank    | 21
! product | com.oulhen.riskelo.us.pack.english9


# --- Shakespeare ---

E | Which Shakespeare play follows two young lovers in Verona? | Romeo and Juliet | Hamlet | Macbeth | Othello
E | Which two families feud in Romeo and Juliet? | The Montagues and Capulets | The Yorks and Lancasters | The Medicis and Pazzis | The Guelphs and Ghibellines
E | Which Shakespeare tragedy is set in Denmark? | Hamlet | Macbeth | King Lear | Othello
E | Which Shakespeare tragedy is set in Scotland? | Macbeth | Hamlet | Othello | Julius Caesar
E | Which English town was Shakespeare born in? | Stratford-upon-Avon | Canterbury | Warwick | Coventry
E | Which London theater was the home of Shakespeare's company? | The Globe | The Rose | The Swan | The Curtain
E | Which friar marries Romeo and Juliet in secret? | Friar Laurence | Friar John | Friar Tuck | Friar Bartholomew
E | Which cousin of Juliet kills Mercutio? | Tybalt | Paris | Benvolio | Balthasar
E | Which friend of Romeo dies cursing both houses? | Mercutio | Benvolio | Balthasar | Gregory
E | Which ghost sets Hamlet on his course? | His father's ghost | Banquo's ghost | Caesar's ghost | His mother's ghost
E | Which woman drowns after Hamlet turns on her? | Ophelia | Gertrude | Cordelia | Desdemona
E | Which uncle takes the throne of Hamlet's father? | Claudius | Polonius | Fortinbras | Laertes
E | Which three figures greet Macbeth with a prophecy? | The witches | The fates | The Furies | The Norns
E | Which king does Macbeth kill in his own castle? | Duncan | Malcolm | Edward | Siward
E | Which general is deceived by Iago? | Othello | Cassio | Roderigo | Brabantio
E | Which wife does Othello kill? | Desdemona | Emilia | Bianca | Gertrude
E | Which king divides his kingdom among his daughters? | Lear | Duncan | Richard | Henry
E | Which Roman is stabbed on the Ides of March in a Shakespeare play? | Julius Caesar | Mark Antony | Brutus | Cassius
E | Which magician rules the island in The Tempest? | Prospero | Oberon | Puck | Faustus
E | Which comedy sends four lovers into a wood near Athens? | A Midsummer Night's Dream | Twelfth Night | As You Like It | Much Ado About Nothing
M | Which friend does Macbeth have murdered? | Banquo | Duncan | Macduff | Malcolm
M | Which object convinces Othello of his wife's guilt? | A handkerchief | A ring | A letter | A locket
M | Which daughter of Lear refuses to flatter him? | Cordelia | Goneril | Regan | Miranda
M | Which friend of Caesar joins the conspiracy against him? | Brutus | Antony | Octavius | Casca
M | Which spirit serves Prospero? | Ariel | Caliban | Puck | Titania
M | Which mischievous sprite serves Oberon? | Puck | Ariel | Bottom | Peaseblossom
H | Which prince rules Verona in the play? | Escalus | Ferdinand | Leonato | Antonio
H | Which of Hamlet's schoolfellows spy on him for the king? | Rosencrantz and Guildenstern | Horatio and Laertes | Osric and Reynaldo | Voltemand and Cornelius
H | Which forest seems to march toward Macbeth's castle? | Birnam Wood | Sherwood Forest | Arden Forest | Dunsinane Wood
H | Which speech begins friends, Romans, countrymen? | Mark Antony's funeral oration | Brutus's defense | Cassius's appeal | Caesar's refusal
H | Which weaver is given a donkey's head in that comedy? | Bottom | Quince | Flute | Snug
H | Which comedy disguises Viola as a young man in Illyria? | Twelfth Night | As You Like It | The Merchant of Venice | Measure for Measure
H | Which comedy sends Rosalind into the Forest of Arden? | As You Like It | Twelfth Night | Love's Labour's Lost | The Winter's Tale
H | Which speech begins all the world's a stage? | Jaques's speech in As You Like It | Prospero's epilogue | Hamlet's soliloquy | Portia's plea
H | Which moneylender demands a pound of flesh? | Shylock | Antonio | Bassanio | Gratiano
H | Which heroine argues in court disguised as a lawyer? | Portia | Nerissa | Jessica | Rosalind
H | Which pair trade insults before falling in love? | Beatrice and Benedick | Katherina and Petruchio | Rosalind and Orlando | Viola and Orsino
H | Which meter did Shakespeare write most of his verse in? | Iambic pentameter | Trochaic tetrameter | Dactylic hexameter | Anapestic trimeter
H | About how many sonnets did Shakespeare write? | About 154 | About 40 | About 300 | About 90
H | Which sonnet begins shall I compare thee to a summer's day? | Sonnet 18 | Sonnet 116 | Sonnet 130 | Sonnet 73

# --- Greece and Rome ---

E | Which Greek poet is credited with the Iliad and the Odyssey? | Homer | Sophocles | Virgil | Hesiod
E | Which Roman poet followed Aeneas from Troy to Italy? | Virgil | Ovid | Horace | Homer
E | Which Trojan prince does Achilles kill? | Hector | Paris | Aeneas | Priam
E | Which Greek warrior sulks in his tent for much of the Iliad? | Achilles | Odysseus | Ajax | Diomedes
E | Which one-eyed giant does Odysseus blind? | Polyphemus | Argus | Antaeus | Talos
E | Which wife of Odysseus unweaves her weaving each night? | Penelope | Helen | Andromache | Clytemnestra
E | Which singers lure sailors onto the rocks? | The Sirens | The Harpies | The Muses | The Nereids
M | Which enchantress turns Odysseus's men into swine? | Circe | Calypso | Medea | Scylla
M | Which nymph holds Odysseus for seven years? | Calypso | Circe | Nausicaa | Thetis
M | Which son of Odysseus goes in search of his father? | Telemachus | Orestes | Ascanius | Neoptolemus
M | Which two monsters guard a narrow strait in the Odyssey? | Scylla and Charybdis | Gorgon and Hydra | Sirens and Harpies | Cerberus and Chimera
M | Which Trojan hero founds the Roman line in the Aeneid? | Aeneas | Hector | Priam | Romulus
M | Which queen of Carthage loves Aeneas and dies for it? | Dido | Cleopatra | Lavinia | Camilla
M | Which play follows a king who unknowingly killed his father? | Oedipus Rex | Antigone | Medea | Agamemnon
M | Which playwright wrote Oedipus Rex and Antigone? | Sophocles | Aeschylus | Euripides | Aristophanes
M | Which heroine buries her brother against the king's order? | Antigone | Electra | Medea | Iphigenia
