# Science & Nature — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Nothing here is a live figure. Records fall and instruments improve, and a
# quiz that quotes the tallest, fastest or newest anything is a quiz that
# goes wrong quietly. Constants, structures and settled findings only.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | science
! name    | Science & Nature
! icon    | leaf
! tint    | 0.34 0.65 0.42
! rank    | 2


# --- The human body ---

E | How many bones are in an adult human body? | 206 | 186 | 226 | 306
E | Which organ pumps blood around the body? | The heart | The liver | The lungs | The kidneys
E | Which is the largest organ of the human body? | The skin | The liver | The brain | The lungs
E | How many chambers does the human heart have? | Four | Two | Three | Six
E | Which organ do we use to breathe? | The lungs | The heart | The stomach | The liver
E | What carries oxygen in the blood? | Red blood cells | White blood cells | Platelets | Plasma
E | How many teeth does a typical adult have? | 32 | 28 | 36 | 30
M | Which is the largest internal organ? | The liver | The heart | The lungs | The kidneys
M | Which is the smallest bone in the human body? | The stapes | The femur | The hyoid | The coccyx
M | Which is the longest bone in the human body? | The femur | The tibia | The humerus | The spine
M | Which protein in red blood cells binds oxygen? | Hemoglobin | Insulin | Keratin | Collagen
M | Which organ filters waste from the blood? | The kidneys | The liver | The spleen | The pancreas
M | How many pairs of ribs does a typical adult have? | Twelve | Ten | Fourteen | Eleven
M | Which part of the brain controls balance and coordination? | The cerebellum | The cerebrum | The medulla | The thalamus
M | Which blood type is called the universal donor? | O negative | AB positive | A positive | B negative
M | Which system includes the bones and joints? | The skeletal system | The muscular system | The nervous system | The endocrine system
M | Which vitamin does the skin make from sunlight? | Vitamin D | Vitamin C | Vitamin A | Vitamin K
H | Which organ produces insulin? | The pancreas | The liver | The thyroid | The adrenal gland
H | Which is the largest artery in the body? | The aorta | The carotid | The femoral | The pulmonary artery
H | How many chromosomes does a typical human cell contain? | 46 | 23 | 48 | 44
H | Which part of the eye controls how much light enters? | The iris | The retina | The cornea | The lens
H | Which fluid-filled canals in the ear help with balance? | The semicircular canals | The cochlea | The eustachian tube | The ossicles
H | Which muscle separates the chest from the abdomen? | The diaphragm | The pectoralis | The oblique | The intercostal
H | Which cells in the blood fight infection? | White blood cells | Red blood cells | Platelets | Stem cells
H | Which gland is called the master gland? | The pituitary | The thyroid | The adrenal | The pineal
H | Which part of the neuron carries signals away from the cell body? | The axon | The dendrite | The synapse | The myelin
H | How many lobes does the right lung have? | Three | Two | Four | Five

# --- Animals ---

E | Which is the largest animal on Earth? | The blue whale | The African elephant | The giraffe | The whale shark
E | Which is the fastest land animal? | The cheetah | The lion | The pronghorn | The horse
E | How many legs does a spider have? | Eight | Six | Ten | Four
E | How many legs does an insect have? | Six | Eight | Four | Ten
E | Which mammal can truly fly? | The bat | The flying squirrel | The colugo | The sugar glider
E | What is a baby kangaroo called? | A joey | A cub | A kit | A calf
E | Which bird is the tallest? | The ostrich | The emu | The crane | The condor
E | Which sea creature has eight arms? | The octopus | The squid | The jellyfish | The starfish
E | What do we call an animal that eats only plants? | A herbivore | A carnivore | An omnivore | A scavenger
M | How many hearts does an octopus have? | Three | One | Two | Four
M | Which is the largest living land animal? | The African elephant | The white rhinoceros | The hippopotamus | The giraffe
M | Which bird reaches the highest speed in a dive? | The peregrine falcon | The golden eagle | The swift | The albatross
M | Which is the only mammal that lays eggs alongside the echidna? | The platypus | The opossum | The pangolin | The armadillo
M | Which animals are the closest living relatives of birds? | Crocodiles | Lizards | Turtles | Snakes
M | What is a group of lions called? | A pride | A pack | A herd | A troop
M | What is a group of crows called? | A murder | A flock | A gaggle | A parliament
M | Which whale has a long spiral tusk? | The narwhal | The beluga | The sperm whale | The orca
M | Which class of animals do frogs belong to? | Amphibians | Reptiles | Fish | Mammals
M | Which sense do bats use most to navigate at night? | Hearing | Sight | Smell | Touch
M | What is the process by which a caterpillar becomes a butterfly? | Metamorphosis | Mitosis | Migration | Molting
H | How many stomach compartments does a cow have? | Four | Two | Three | One
H | Which is the largest species of shark? | The whale shark | The great white | The basking shark | The tiger shark
H | Which animal has the longest recorded lifespan? | The Greenland shark | The blue whale | The elephant | The tortoise
H | Which bird lays the largest egg? | The ostrich | The emu | The albatross | The condor
H | Which insect order includes beetles? | Coleoptera | Diptera | Hymenoptera | Lepidoptera
H | What is a group of jellyfish called? | A smack | A school | A shoal | A pod
H | Which animal's blood is blue because of copper? | The horseshoe crab | The octopus | The lobster | The squid
H | Which mammal has the longest migration? | The gray whale | The caribou | The wildebeest | The elephant seal
H | Which venomous snake is the longest in the world? | The king cobra | The black mamba | The taipan | The bushmaster
H | Which term describes an animal active at twilight? | Crepuscular | Nocturnal | Diurnal | Fossorial

# --- Plants and living things ---

E | What gas do plants take in for photosynthesis? | Carbon dioxide | Oxygen | Nitrogen | Hydrogen
E | What gas do plants release during photosynthesis? | Oxygen | Carbon dioxide | Methane | Nitrogen
E | Which part of a plant absorbs water from the soil? | The roots | The leaves | The stem | The flower
E | What is the green pigment in leaves called? | Chlorophyll | Carotene | Melanin | Keratin
E | Which tree is the tallest species in the world? | The coast redwood | The Douglas fir | The giant sequoia | The eucalyptus
M | Which process turns pollen into seed after transfer? | Fertilization | Germination | Photosynthesis | Transpiration
M | What is the loss of water vapor through leaves called? | Transpiration | Respiration | Condensation | Precipitation
M | Which kingdom do mushrooms belong to? | Fungi | Plants | Bacteria | Protists
M | Which plant family includes wheat, rice and corn? | Grasses | Legumes | Nightshades | Composites
M | Which nutrient do legumes add to soil with the help of bacteria? | Nitrogen | Phosphorus | Potassium | Calcium
M | What do we call a plant that lives for only one growing season? | An annual | A perennial | A biennial | A succulent
M | Which trees keep their leaves all year? | Evergreens | Deciduous trees | Hardwoods | Softwoods
H | Which structure in a plant cell carries out photosynthesis? | The chloroplast | The mitochondrion | The nucleus | The ribosome
H | Which tissue carries water up a plant stem? | Xylem | Phloem | Cambium | Cortex
H | Which tissue carries sugars around a plant? | Phloem | Xylem | Epidermis | Pith
H | Which tree species is the oldest known individual? | The bristlecone pine | The baobab | The yew | The olive
H | Which pores on a leaf open to exchange gases? | Stomata | Cuticles | Veins | Nodes
H | What do we call the study of fungi? | Mycology | Botany | Entomology | Herpetology
H | Which desert plant family includes the saguaro? | The cactus family | The agave family | The yucca family | The euphorbia family
H | Which plant hormone drives growth toward light? | Auxin | Ethylene | Gibberellin | Cytokinin

# --- Chemistry ---

E | What is the chemical formula of water? | H2O | CO2 | NaCl | O2
E | Which gas do humans need to breathe? | Oxygen | Carbon dioxide | Nitrogen | Helium
E | What is the chemical symbol for gold? | Au | Go | Gd | Ag
E | What is the chemical symbol for oxygen? | O | Ox | O2 | Om
E | What is table salt made of? | Sodium and chlorine | Sodium and carbon | Potassium and chlorine | Calcium and sodium
E | Which gas makes up most of the air we breathe? | Nitrogen | Oxygen | Carbon dioxide | Argon
M | What is the chemical symbol for iron? | Fe | Ir | In | I
M | What is the chemical symbol for silver? | Ag | Si | Sv | Au
M | What is the chemical symbol for sodium? | Na | So | Sd | S
M | What is the chemical symbol for potassium? | K | P | Po | Pt
M | Which element has the atomic number one? | Hydrogen | Helium | Oxygen | Carbon
M | What pH value is neutral? | 7 | 0 | 14 | 5
M | Which gas is released when baking soda meets vinegar? | Carbon dioxide | Oxygen | Hydrogen | Methane
M | Which particle carries a negative charge in an atom? | The electron | The proton | The neutron | The nucleus
M | Which particle in the nucleus has no charge? | The neutron | The proton | The electron | The positron
M | What is the lightest element? | Hydrogen | Helium | Lithium | Carbon
M | Which family of elements does helium belong to? | The noble gases | The halogens | The alkali metals | The metalloids
H | What is the chemical symbol for tin? | Sn | Ti | Tn | T
H | What is the chemical symbol for lead? | Pb | Ld | Le | Pl
H | What is the chemical symbol for tungsten? | W | Tu | Tg | Ts
H | Which element is the most abundant in the universe? | Hydrogen | Helium | Oxygen | Carbon
H | Which element is the most abundant in Earth's crust? | Oxygen | Silicon | Iron | Aluminum
H | Which scientist arranged the first widely used periodic table? | Dmitri Mendeleev | Antoine Lavoisier | John Dalton | Robert Boyle
H | What do we call a substance that speeds a reaction without being used up? | A catalyst | A reagent | A solvent | An inhibitor
H | Which acid is found in the human stomach? | Hydrochloric acid | Sulfuric acid | Acetic acid | Citric acid
H | Which bond forms when atoms share electrons? | A covalent bond | An ionic bond | A metallic bond | A hydrogen bond
H | How many naturally occurring elements are there roughly? | Ninety-four | Sixty | One hundred eighteen | One hundred fifty
H | Which state of matter has a definite volume but no definite shape? | Liquid | Solid | Gas | Plasma

# --- Physics and forces ---

E | Which force pulls objects toward the Earth? | Gravity | Magnetism | Friction | Tension
E | Which travels faster, light or sound? | Light | Sound | They travel the same | It depends on color
E | What form of energy does a moving object have? | Kinetic energy | Potential energy | Thermal energy | Chemical energy
E | Which simple machine is a ramp? | An inclined plane | A lever | A pulley | A wedge
E | What do we call the force that slows a sliding object? | Friction | Gravity | Inertia | Momentum
M | Roughly how fast does light travel in a vacuum? | 186,000 miles per second | 186,000 miles per hour | 1,860 miles per second | 18,600 miles per second
M | Which scientist described three laws of motion? | Isaac Newton | Albert Einstein | Galileo Galilei | Niels Bohr
M | What unit measures electric current? | The ampere | The volt | The watt | The ohm
M | What unit measures electrical resistance? | The ohm | The volt | The watt | The joule
M | What unit measures force in the metric system? | The newton | The joule | The pascal | The watt
M | Which kind of energy is stored by position or height? | Potential energy | Kinetic energy | Nuclear energy | Sound energy
M | Through what does sound travel fastest? | Steel | Air | Water | A vacuum
M | Which color of visible light has the shortest wavelength? | Violet | Red | Green | Yellow
M | What happens to light when it passes from air into water? | It refracts | It stops | It reflects entirely | It turns to heat
M | Which law says that for every action there is an equal and opposite reaction? | Newton's third law | Newton's first law | Newton's second law | Boyle's law
H | What unit measures power? | The watt | The joule | The newton | The ampere
H | What unit measures frequency? | The hertz | The decibel | The lumen | The tesla
H | Which particle carries the electromagnetic force? | The photon | The electron | The gluon | The neutrino
H | Which scientist proposed the theory of general relativity? | Albert Einstein | Isaac Newton | Max Planck | Werner Heisenberg
H | What is the temperature of absolute zero in Celsius? | Minus 273 degrees | Minus 100 degrees | Minus 460 degrees | Zero degrees
H | Which law states that energy cannot be created or destroyed? | The conservation of energy | The second law of thermodynamics | Ohm's law | Hooke's law
H | Which effect explains the change in pitch of a passing siren? | The Doppler effect | The Coriolis effect | The photoelectric effect | The Hall effect
H | Which type of radiation has the greatest penetrating power? | Gamma | Alpha | Beta | Ultraviolet
H | What does a transformer change in an electrical circuit? | The voltage | The frequency | The resistance | The power
H | Which scientist first measured the acceleration of falling bodies? | Galileo Galilei | Isaac Newton | Johannes Kepler | Blaise Pascal

# --- Space ---

E | How many planets orbit the Sun? | Eight | Nine | Seven | Ten
E | Which planet is known as the red planet? | Mars | Venus | Jupiter | Mercury
E | Which is the largest planet in the solar system? | Jupiter | Saturn | Neptune | Earth
E | Which planet is closest to the Sun? | Mercury | Venus | Earth | Mars
E | Which planet is famous for its rings? | Saturn | Jupiter | Uranus | Neptune
E | What is the Sun? | A star | A planet | A comet | A galaxy
E | What is our galaxy called? | The Milky Way | Andromeda | The Local Group | Orion
E | Which body orbits the Earth? | The Moon | The Sun | Mars | Venus
M | Which planet is hottest at its surface? | Venus | Mercury | Mars | Jupiter
M | How long does light from the Sun take to reach Earth? | About eight minutes | About eight seconds | About eight hours | About one minute
M | What does a light-year measure? | Distance | Time | Brightness | Mass
M | Which planet has the most moons among the giants? | Saturn | Jupiter | Uranus | Neptune
M | Which planet spins on its side? | Uranus | Neptune | Venus | Saturn
M | Which planet rotates backwards compared with most others? | Venus | Mars | Jupiter | Mercury
M | What is the name of the belt of rocks between Mars and Jupiter? | The asteroid belt | The Kuiper belt | The Oort cloud | The Van Allen belt
M | What causes the phases of the Moon? | Its position relative to Earth and Sun | Earth's shadow | Clouds in space | Its own rotation only
M | What is a solar eclipse? | The Moon passing in front of the Sun | Earth passing in front of the Sun | The Sun going dark | The Moon entering Earth's shadow
M | Which force keeps planets in orbit? | Gravity | Magnetism | Inertia alone | Centrifugal force
H | Which is the smallest planet in the solar system? | Mercury | Mars | Venus | Pluto
H | Which planet has the shortest day? | Jupiter | Mercury | Earth | Mars
H | What is the name of the cloud of icy bodies far beyond Neptune? | The Oort cloud | The Kuiper belt | The asteroid belt | The heliosphere
H | Which telescope was launched into orbit in 1990? | Hubble | Kepler | Spitzer | Chandra
H | Which is the closest star system to the Sun? | Alpha Centauri | Sirius | Barnard's Star | Vega
H | What do we call a star that suddenly brightens as it explodes? | A supernova | A quasar | A pulsar | A nebula
H | What is a rapidly spinning neutron star called? | A pulsar | A quasar | A magnetar | A white dwarf
H | Which layer of the Sun do we normally see? | The photosphere | The corona | The chromosphere | The core
H | What will the Sun most likely become at the end of its life? | A white dwarf | A black hole | A neutron star | A supernova remnant
H | Which spacecraft first flew past Pluto, in 2015? | New Horizons | Voyager 1 | Cassini | Galileo
H | Which two Voyager probes left the solar system's edge? | Voyager 1 and 2 | Pioneer 1 and 2 | Mariner 1 and 2 | Viking 1 and 2

# --- The Earth ---

E | What are the three layers of the Earth called? | Crust, mantle, core | Crust, magma, core | Surface, middle, base | Shell, mantle, center
E | What is molten rock beneath the surface called? | Magma | Lava | Basalt | Obsidian
E | What is molten rock that reaches the surface called? | Lava | Magma | Granite | Ash
E | What does a seismograph measure? | Earthquakes | Wind speed | Air pressure | Rainfall
E | What is the hardest natural mineral? | Diamond | Quartz | Corundum | Topaz
M | What are the three main kinds of rock? | Igneous, sedimentary, metamorphic | Volcanic, sandy, hard | Basalt, granite, marble | Mineral, crystal, fossil
M | Which scale rates mineral hardness? | The Mohs scale | The Richter scale | The Beaufort scale | The Kelvin scale
M | What are the large moving pieces of Earth's outer shell called? | Tectonic plates | Continental shelves | Crust blocks | Basins
M | Which rock forms from cooled magma? | Igneous rock | Sedimentary rock | Metamorphic rock | Fossil rock
M | Which rock forms from layers of pressed sediment? | Sedimentary rock | Igneous rock | Metamorphic rock | Volcanic rock
M | Which process changes water from liquid to gas? | Evaporation | Condensation | Precipitation | Sublimation
M | Which process changes water vapor into liquid? | Condensation | Evaporation | Precipitation | Infiltration
M | What is the ring of volcanoes around the Pacific called? | The Ring of Fire | The Pacific Belt | The Volcano Arc | The Andes Chain
M | Which layer of the atmosphere holds most weather? | The troposphere | The stratosphere | The mesosphere | The thermosphere
M | Which layer of the atmosphere contains the ozone layer? | The stratosphere | The troposphere | The mesosphere | The exosphere
H | What is the point on the surface above an earthquake's origin called? | The epicenter | The focus | The fault line | The rift
H | What is the underground origin point of an earthquake called? | The focus | The epicenter | The hypocenter zone | The fault plane
H | Which gas makes up most of Earth's atmosphere? | Nitrogen | Oxygen | Argon | Carbon dioxide
H | What is the boundary between two plates pulling apart called? | A divergent boundary | A convergent boundary | A transform boundary | A subduction zone
H | Which limestone landscape features caves and sinkholes? | Karst | Tundra | Moraine | Loess
H | Which rock is limestone changed into by heat and pressure? | Marble | Slate | Granite | Basalt
H | Which rock is shale changed into by heat and pressure? | Slate | Marble | Quartzite | Gneiss
H | Which era are we living in now? | The Cenozoic | The Mesozoic | The Paleozoic | The Precambrian
H | Which period saw the last of the non-bird dinosaurs? | The Cretaceous | The Jurassic | The Triassic | The Permian
H | What is the supercontinent that broke apart called? | Pangaea | Gondwana | Laurasia | Rodinia

# --- Scientists and discoveries ---

E | Who proposed the theory of evolution by natural selection? | Charles Darwin | Gregor Mendel | Louis Pasteur | Carl Linnaeus
E | Who is famous for the equation relating energy and mass? | Albert Einstein | Isaac Newton | Stephen Hawking | Niels Bohr
M | Who founded the study of heredity with pea plants? | Gregor Mendel | Charles Darwin | Thomas Morgan | Rosalind Franklin
M | Who developed the system of naming species with two Latin names? | Carl Linnaeus | Charles Darwin | Georges Cuvier | Jean-Baptiste Lamarck
M | Who showed that germs cause disease and gave his name to a process? | Louis Pasteur | Robert Koch | Joseph Lister | Edward Jenner
M | Which scientist won Nobel Prizes in two different sciences? | Marie Curie | Albert Einstein | Linus Pauling | Ernest Rutherford
M | Who first described the circulation of blood in 1628? | William Harvey | Andreas Vesalius | Galen | Marcello Malpighi
H | Whose X-ray images were key to finding the shape of DNA? | Rosalind Franklin | Barbara McClintock | Dorothy Hodgkin | Lise Meitner
H | Who developed the first vaccine, against smallpox? | Edward Jenner | Louis Pasteur | Jonas Salk | Robert Koch
H | Which physicist described the structure of the atom with a small nucleus? | Ernest Rutherford | J. J. Thomson | Niels Bohr | James Chadwick
H | Who discovered the electron in 1897? | J. J. Thomson | Ernest Rutherford | Robert Millikan | James Chadwick
H | Who discovered the neutron in 1932? | James Chadwick | Ernest Rutherford | Niels Bohr | Enrico Fermi
H | Which astronomer showed that the universe is expanding? | Edwin Hubble | Carl Sagan | Georges Lemaitre | Fred Hoyle
H | Which biologist first observed cells in cork? | Robert Hooke | Antonie van Leeuwenhoek | Louis Pasteur | Matthias Schleiden
H | Who first saw microorganisms through a homemade microscope? | Antonie van Leeuwenhoek | Robert Hooke | Louis Pasteur | Robert Koch
H | Which chemist is called the father of modern chemistry for naming oxygen? | Antoine Lavoisier | Robert Boyle | John Dalton | Joseph Priestley

# --- Measurement and everyday science ---

E | At what temperature does water freeze in Fahrenheit? | 32 degrees | 0 degrees | 100 degrees | 212 degrees
E | At what temperature does water boil in Fahrenheit at sea level? | 212 degrees | 100 degrees | 180 degrees | 220 degrees
E | At what temperature does water boil in Celsius at sea level? | 100 degrees | 212 degrees | 90 degrees | 0 degrees
E | How many inches are in a foot? | Twelve | Ten | Sixteen | Fourteen
E | How many feet are in a mile? | 5,280 | 1,000 | 3,600 | 5,000
E | What instrument measures temperature? | A thermometer | A barometer | A hygrometer | An anemometer
M | What instrument measures air pressure? | A barometer | A thermometer | An anemometer | A hygrometer
M | What instrument measures wind speed? | An anemometer | A barometer | A weather vane | A rain gauge
M | How many ounces are in a pound? | Sixteen | Twelve | Twenty | Ten
M | How many centimeters are in a meter? | One hundred | Ten | One thousand | Fifty
M | What does the SI unit kilogram measure? | Mass | Weight in pounds | Volume | Density
M | Which scale of temperature starts at absolute zero? | Kelvin | Celsius | Fahrenheit | Rankine
