# History — Grade 6 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# The sixth-grade world history course as most American schools run it:
# early humans and farming, Mesopotamia, Egypt, the Indus, ancient China
# and India, Greece, and Rome to its fall.
#
# Two hundred questions. A theme of two hundred lasts two evenings of solo
# play before questions start coming back — that measurement is what set
# the number.
#
# No prompt duplicates one in any other question file: a pack that repeats
# the free bank is a pack you feel you have already paid for.

! id      | history-6
! name    | History — Grade 6
! detail  | Ancient civilizations: Mesopotamia, Egypt, Greece and Rome.
! icon    | pyramid
! tint    | 0.78 0.62 0.38
! rank    | 7
! product | com.oulhen.riskelo.us.pack.history6


# --- Before cities ---

E | What did the earliest humans do for food before farming? | Hunted and gathered | Farmed grain | Herded cattle | Traded in markets
E | Which age is named for the first use of chipped stone tools? | The Paleolithic | The Neolithic | The Bronze Age | The Iron Age
E | Which age is named for polished stone tools and early farming? | The Neolithic | The Paleolithic | The Bronze Age | The Iron Age
M | What do we call the change from hunting to farming? | The Neolithic Revolution | The Industrial Revolution | The Urban Revolution | The Bronze Revolution
M | Which invention allowed early people to work metal harder than copper? | Bronze, an alloy of copper and tin | Iron smelting | Steel casting | Brass working
M | What do we call people who move with their herds rather than settle? | Nomads | Artisans | Scribes | Serfs
M | Which development allowed early societies to store surplus food? | Pottery and granaries | Writing | Coinage | Wheeled carts
M | What do we call the taming of wild animals for human use? | Domestication | Migration | Cultivation | Irrigation
H | Which French cave is famous for its Paleolithic paintings? | Lascaux | Chauvet only | Altamira | Pech Merle
H | Which Turkish site is one of the oldest known towns, from about 7000 BC? | Catalhoyuk | Jericho | Ur | Uruk
H | Which town in the Jordan Valley is among the oldest continuously settled? | Jericho | Damascus | Byblos | Aleppo
H | Which invention around 3500 BC transformed transport and pottery? | The wheel | The plow | The sail | The lever
H | What do we call the study of past peoples through what they left behind? | Archaeology | History | Anthropology only | Paleontology

# --- Mesopotamia ---

E | Which two rivers bounded Mesopotamia? | The Tigris and the Euphrates | The Nile and the Jordan | The Indus and the Ganges | The Yellow and the Yangtze
E | Which arc of good farmland stretched from the Persian Gulf to Egypt? | The Fertile Crescent | The Sahel | The Levant only | The Anatolian Plain
M | Which people built the first cities of southern Mesopotamia? | The Sumerians | The Assyrians | The Hittites | The Phoenicians
M | What were the stepped temple towers of Mesopotamia called? | Ziggurats | Pyramids | Pagodas | Stupas
M | Which Sumerian city is among the oldest known in the world? | Uruk | Thebes | Memphis | Mohenjo-Daro
M | Which Babylonian king's law code is carved on a black stone pillar? | Hammurabi | Sargon | Nebuchadnezzar | Ashurbanipal
M | Which principle runs through Hammurabi's code? | An eye for an eye | Trial by jury | Innocent until proven guilty | Equality before the law
M | Which Akkadian ruler built the first known empire around 2334 BC? | Sargon | Hammurabi | Gilgamesh | Ur-Nammu
M | Which Mesopotamian epic tells of a king's search for eternal life? | The Epic of Gilgamesh | The Iliad | The Rig Veda | The Book of the Dead
M | What tool did Mesopotamian scribes press into clay to write? | A reed stylus | A brush | A chisel | A quill
H | Which empire built a famous library at Nineveh? | The Assyrian Empire | The Babylonian Empire | The Persian Empire | The Hittite Empire
H | Which Assyrian king assembled that library of clay tablets? | Ashurbanipal | Sennacherib | Tiglath-Pileser | Sargon II
H | Which Babylonian king is credited with the hanging gardens? | Nebuchadnezzar II | Hammurabi | Marduk-apla-iddina | Nabonidus
H | Which Persian king allowed exiled peoples to return home after 539 BC? | Cyrus the Great | Darius I | Xerxes | Cambyses
H | Which Persian king built the Royal Road across his empire? | Darius I | Cyrus the Great | Xerxes | Artaxerxes
H | Which Mesopotamian invention divided the circle into 360 degrees? | The base-sixty number system | Decimal counting | The abacus | The zero
H | Which people of the Levant spread an alphabet through trade? | The Phoenicians | The Hittites | The Sumerians | The Medes
H | Which Anatolian people were among the first to work iron widely? | The Hittites | The Phoenicians | The Lydians | The Elamites
H | Which kingdom is credited with the first coined money, in Anatolia? | Lydia | Phoenicia | Assyria | Persia

# --- Ancient Egypt ---

E | Which direction does the Nile River flow? | North | South | East | West
E | What did Egyptians build as tombs for their pharaohs? | Pyramids | Ziggurats | Temples only | Catacombs
E | What was the Egyptian writing system called? | Hieroglyphs | Cuneiform | Sanskrit | Linear A
E | What plant did Egyptians use to make an early kind of paper? | Papyrus | Bamboo | Flax | Palm bark
E | What did Egyptians do to preserve bodies for the afterlife? | Mummified them | Cremated them | Buried them at sea | Left them in caves
M | Which yearly event enriched Egyptian farmland with silt? | The Nile flood | The monsoon | The harmattan | The spring thaw
M | Which pharaoh's tomb was found nearly untouched in the Valley of the Kings? | Tutankhamun | Ramses II | Khufu | Thutmose III
M | Which pyramid at Giza is the largest? | The Great Pyramid of Khufu | The Pyramid of Khafre | The Pyramid of Menkaure | The Step Pyramid
M | Which stone bore the same text in three scripts and unlocked hieroglyphs? | The Rosetta Stone | The Narmer Palette | The Palermo Stone | The Merneptah Stele
M | Which pharaoh ruled as a woman and is shown with a false beard? | Hatshepsut | Nefertiti | Cleopatra | Ankhesenamun
M | Which pharaoh built many temples and reigned for over sixty years? | Ramses II | Khufu | Akhenaten | Amenhotep III
M | Which pharaoh tried to replace Egypt's many gods with one sun disk? | Akhenaten | Ramses II | Tutankhamun | Seti I
M | Which creature with a lion's body and a human head guards Giza? | The Sphinx | The Griffin | The Chimera | The Manticore
M | Which two lands did the pharaoh's double crown represent? | Upper and Lower Egypt | Egypt and Nubia | Egypt and Kush | The Delta and the Oases
H | Which Egyptian official could read and write and kept records? | The scribe | The vizier | The nomarch | The priest
H | Which vizier was second only to the pharaoh in government? | The vizier | The nomarch | The high priest | The general
H | Which kingdom to the south of Egypt later ruled it as a dynasty? | Kush | Punt | Libya | Canaan
H | Which Kushite capital was famous for its own steep pyramids? | Meroe | Napata only | Kerma | Axum
H | Which text guided the dead through the afterlife in Egyptian belief? | The Book of the Dead | The Pyramid Texts only | The Instruction of Ptahhotep | The Coffin Codex
H | Which period of Egyptian history built the great pyramids at Giza? | The Old Kingdom | The Middle Kingdom | The New Kingdom | The Late Period
