# Geography — Grade 7 — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Seventh grade: the regions the medieval and early modern course visits —
# Europe first, then Russia and the north, the Americas from Canada down
# to Cape Horn, and the Pacific world with the two poles.

! id      | geography-7
! name    | Geography — Grade 7
! detail  | Europe, Russia, the Americas, the Pacific and the poles.
! icon    | mountain.2
! tint    | 0.38 0.58 0.48
! rank    | 12
! product | com.oulhen.riskelo.us.pack.geography7


# --- Europe: land and water ---

E | Which mountains wall off the Iberian Peninsula from France? | The Pyrenees | The Alps | The Apennines | The Carpathians
E | Which mountain range curves through Switzerland and Austria? | The Alps | The Pyrenees | The Balkans | The Urals
E | Which peninsula holds Spain and Portugal? | The Iberian Peninsula | The Italian Peninsula | The Balkan Peninsula | The Jutland Peninsula
E | Which sea lies between Italy and the Balkans? | The Adriatic | The Aegean | The Tyrrhenian | The Ionian
E | Which river flows through Vienna, Budapest and Belgrade? | The Danube | The Rhine | The Elbe | The Vistula
E | Which channel separates England from France? | The English Channel | The North Sea | The Irish Sea | The Skagerrak
E | Which is Europe's longest river? | The Volga | The Danube | The Rhine | The Dnieper
E | Which summit on the French-Italian border tops the Alps? | Mont Blanc | The Matterhorn | Monte Rosa | The Jungfrau
E | Which Scandinavian country is famous for its deep fjords? | Norway | Sweden | Denmark | Finland
E | Which volcano buried Pompeii and still overlooks Naples? | Vesuvius | Etna | Stromboli | Campi Flegrei
M | Which river runs from the Alps to a Dutch delta past Cologne? | The Rhine | The Danube | The Meuse | The Moselle
M | Which mountains run down the spine of Italy? | The Apennines | The Dolomites | The Dinaric Alps | The Carpathians
M | Which mountains arc through Romania and Slovakia? | The Carpathians | The Balkans | The Rhodopes | The Tatras
M | Which sea is nearly enclosed by Scandinavia and the Baltic states? | The Baltic Sea | The North Sea | The White Sea | The Barents Sea
M | Which strait links the Mediterranean to the Atlantic? | The Strait of Gibraltar | The Strait of Dover | The Kattegat | The Strait of Messina
M | Which country lies largely below sea level behind its dikes? | The Netherlands | Belgium | Denmark | Ireland
M | Which large island lies west of Great Britain? | Ireland | Iceland | Sicily | Corsica
M | Which volcano on Sicily is Europe's most active? | Etna | Vesuvius | Stromboli | Hekla
M | Which North Atlantic island country sits on a spreading ridge? | Iceland | Ireland | The Faroes | Greenland
M | Which lowland plain stretches from France across Poland into Russia? | The North European Plain | The Pannonian Basin | The Po Valley | The Great Hungarian Plain
M | Which river carries the most freight in Europe? | The Rhine | The Danube | The Seine | The Elbe
M | Which strait separates Denmark from Sweden? | The Oresund | The Kattegat | The Great Belt | The Skagerrak
M | Which sea lies between Greece and Turkey? | The Aegean | The Adriatic | The Black Sea | The Sea of Marmara
H | Which basin holds Hungary and its neighbors? | The Pannonian Basin | The Po Basin | The Aquitaine Basin | The Thracian Basin
H | Which lake is the largest lying entirely in Europe? | Lake Ladoga | Lake Vanern | Lake Balaton | Lake Geneva
H | Which mountains form Europe's eastern boundary with Asia? | The Urals | The Caucasus | The Carpathians | The Altai
H | Which peak in the Caucasus is often called Europe's highest? | Mount Elbrus | Mont Blanc | Mount Etna | Monte Rosa
H | Which wind sweeps cold and dry down France's Rhone valley? | The mistral | The sirocco | The foehn | The bora
H | Which warm dry wind falls on the northern side of the Alps? | The foehn | The mistral | The bora | The tramontane
H | Which great river reaches the sea through a delta in Romania? | The Danube | The Dnieper | The Don | The Dniester

# --- Europe: countries and cities ---

E | Which country's capital is Rome? | Italy | Spain | Greece | Portugal
E | Which country's capital is Madrid? | Spain | Portugal | Mexico | Argentina
E | Which country's capital is Berlin? | Germany | Austria | Poland | Switzerland
E | Which country's capital is Lisbon? | Portugal | Spain | Brazil | Morocco
E | Which country's capital is Athens? | Greece | Cyprus | Turkey | Albania
E | Which country's capital is Dublin? | Ireland | Scotland | Wales | Iceland
E | Which country's capital is Warsaw? | Poland | Czechia | Hungary | Lithuania
